wl,flux,fluxerr
2531.645569620253,1.1802e-18,nan
2532.8231683927884,-2.3764e-17,nan
2534.001534330648,-2.5708e-17,nan
2535.1791331031836,2.0033e-17,nan
2536.356731875719,5.8433e-19,nan
2537.535097813579,3.1447e-18,nan
2538.712696586114,5.9124e-18,nan
2539.8902953586494,7.624400000000001e-19,nan
2541.0678941311853,-2.1193e-18,nan
2542.2462600690446,1.5034e-18,nan
2543.42385884158,3.3717e-17,nan
2544.6014576141156,7.3031e-18,nan
2545.7798235519754,3.2351e-17,nan
2546.9574223245104,1.853e-17,nan
2548.1350210970463,3.3843e-17,nan
2549.313387034906,5.269e-17,nan
2550.490985807441,2.6766e-17,nan
2551.6685845799766,1.5573e-17,nan
2552.8469505178364,1.2826e-17,nan
2554.024549290372,1.8064e-17,nan
2555.2021480629073,-4.9593e-18,nan
2556.380514000767,-2.7862e-18,nan
2557.5581127733026,2.7295e-18,nan
2558.735711545838,-1.1027e-18,nan
2559.9140774836974,5.5089e-18,nan
2561.091676256233,6.9836e-18,nan
2562.269275028769,8.3481e-18,nan
2563.447640966628,-1.6203e-17,nan
2564.6252397391636,4.7858e-18,nan
2565.802838511699,2.6783e-17,nan
2566.981204449559,8.8054e-18,nan
2568.158803222094,2.6709e-17,nan
2569.33640199463,1.6533e-17,nan
2570.5147679324896,-9.5967e-18,nan
2571.6923667050246,-1.7577e-17,nan
2572.86996547756,6.0327e-18,nan
2574.047564250096,-7.8668e-18,nan
2575.2259301879553,7.8727000000000005e-19,nan
2576.403528960491,1.8069e-17,nan
2577.5811277330263,6.8466e-18,nan
2578.759493670886,1.9319e-17,nan
2579.937092443421,3.914e-18,nan
2581.114691215957,1.0724e-17,nan
2582.2930571538163,1.1381e-17,nan
2583.470655926352,-2.2549e-17,nan
2584.6482546988873,3.8764e-18,nan
2585.826620636747,2.3528e-17,nan
2587.0042194092825,2.2042e-17,nan
2588.181818181818,2.4863e-18,nan
2589.3594169543535,2.4617e-18,nan
2590.5377828922133,7.54e-19,nan
2591.7153816647483,2.431e-17,nan
2592.8929804372838,2.2664e-17,nan
2594.0713463751435,2.1664e-17,nan
2595.248945147679,3.5519e-17,nan
2596.4265439202145,9.6223e-18,nan
2597.6049098580743,1.0711e-17,nan
2598.7825086306098,3.0307e-17,nan
2599.960107403145,7.8565e-18,nan
2601.1384733410046,4.0329e-18,nan
2602.3160721135405,-6.2105e-18,nan
2603.493670886076,1.2564e-17,nan
2604.6720368239353,1.5542e-17,nan
2605.8496355964708,1.1241e-17,nan
2607.0272343690067,6.9433e-18,nan
2608.2056003068656,4.4354e-18,nan
2609.3831990794015,-1.6004e-19,nan
2610.560797851937,7.1689e-18,nan
2611.7391637897967,1.7324e-17,nan
2612.9167625623318,-5.9572e-18,nan
2614.0943613348677,-8.1042e-18,nan
2615.272727272727,-2.3696e-18,nan
2616.4503260452625,2.5449e-17,nan
2617.627924817798,2.4959e-18,nan
2618.8062907556578,-1.4558e-17,nan
2619.9838895281932,-8.5156e-18,nan
2621.1614883007287,2.1899e-17,nan
2622.339087073264,9.707e-18,nan
2623.517453011124,6.3086e-18,nan
2624.695051783659,1.8367e-17,nan
2625.8726505561945,2.2249e-17,nan
2627.0510164940542,3.9465e-18,nan
2628.2286152665897,6.427e-18,nan
2629.406214039125,3.3003e-18,nan
2630.584579976985,8.0444000000000005e-19,nan
2631.7621787495204,4.6731e-18,nan
2632.9397775220555,9.7508e-18,nan
2634.1181434599152,1.4748e-17,nan
2635.295742232451,1.2824e-17,nan
2636.473341004986,2.1209e-17,nan
2637.6509397775217,5.846e-18,nan
2638.8293057153815,1.0418e-17,nan
2640.006904487917,2.1203e-18,nan
2641.1845032604524,6.4068e-18,nan
2642.362869198312,-5.369e-18,nan
2643.5404679708477,-3.7573e-18,nan
2644.7180667433827,-7.7327e-18,nan
2645.8964326812425,-1.5479e-17,nan
2647.074031453778,4.4899e-18,nan
2648.2516302263134,-2.6014e-18,nan
2649.429996164173,2.8085e-17,nan
2650.6075949367087,2.6325e-17,nan
2651.785193709244,-4.8903e-18,nan
2652.9635596471035,7.6166e-18,nan
2654.141158419639,1.3152e-17,nan
2655.318757192175,4.7145e-18,nan
2656.497123130034,-8.5255e-18,nan
2657.6747219025697,6.0172e-18,nan
2658.852320675105,1.9103e-17,nan
2660.030686612965,5.7319e-18,nan
2661.2082853855004,1.252e-18,nan
2662.385884158036,1.3309e-18,nan
2663.5642500958957,1.5469e-17,nan
2664.741848868431,1.496e-17,nan
2665.919447640966,6.0231e-18,nan
2667.097813578826,5.192e-18,nan
2668.275412351362,-4.0057e-18,nan
2669.453011123897,8.053e-18,nan
2670.6306098964324,2.3946e-17,nan
2671.808975834292,1.8753e-17,nan
2672.9865746068276,-1.5683000000000002e-19,nan
2674.164173379363,2.3626e-17,nan
2675.342539317223,4.3212e-18,nan
2676.5201380897583,-1.0664e-17,nan
2677.6977368622934,4.5764e-18,nan
2678.876102800153,1.9763e-17,nan
2680.0537015726886,1.9673e-17,nan
2681.231300345224,8.129e-18,nan
2682.409666283084,1.5457e-18,nan
2683.5872650556194,1.2306e-17,nan
2684.764863828155,1.634e-17,nan
2685.9424626006903,2.0147e-17,nan
2687.1208285385496,2.0135e-17,nan
2688.2984273110856,3.9336e-18,nan
2689.4760260836206,4.6006e-18,nan
2690.6543920214804,6.4965e-18,nan
2691.831990794016,1.7694e-17,nan
2693.0095895665513,5.4934e-18,nan
2694.1879555044106,1.8839e-17,nan
2695.3655542769466,2.3332e-17,nan
2696.543153049482,4.3619e-18,nan
2697.7215189873414,6.9042e-18,nan
2698.899117759877,1.5934e-17,nan
2700.076716532413,1.1718e-18,nan
2701.255082470272,7.2307e-18,nan
2702.4326812428076,1.9088e-18,nan
