wl,flux,fluxerr
3228.1543343653248,6.75588e-17,nan
3231.3776270260423,1.86644e-17,nan
3234.6009105809503,1.10099e-16,nan
3237.824203241668,1.41752e-16,nan
3241.047486796576,1.48966e-16,nan
3244.2707794572934,5.16136e-17,nan
3247.494063012202,4.64843e-17,nan
3250.7173556729194,2.47181e-17,nan
3253.940639227827,2.47082e-17,nan
3257.1639318885445,1.05132e-16,nan
3260.387215443453,1.45094e-16,nan
3263.61050810417,1.45972e-16,nan
3266.833791659078,3.1831e-17,nan
3270.0570843197956,5.81267e-17,nan
3273.2803678747036,1.31465e-16,nan
3276.503660535421,8.33474e-17,nan
3279.7269531961388,4.01449e-17,nan
3282.950236751047,1.91389e-17,nan
3286.173529411765,2.39755e-17,nan
3289.3968129666723,1.04272e-16,nan
3292.62010562739,1.40822e-16,nan
3295.8433891822983,1.24193e-16,nan
3299.0666818430154,2.55422e-17,nan
3302.289965397924,1.57133e-17,nan
3305.5132580586414,3.72386e-17,nan
3308.736541613549,1.12229e-16,nan
3311.9598342742665,1.12903e-16,nan
3315.183117829175,1.23726e-16,nan
3318.4064104898926,1.32838e-16,nan
3321.6296940448,1.12882e-16,nan
3324.8529867055177,1.11645e-16,nan
3328.076270260426,6.89157e-17,nan
3331.2995629211437,8.62118e-17,nan
3334.5228464760517,6.84532e-17,nan
3337.746139136769,4.59345e-17,nan
3340.969431797487,4.39407e-17,nan
3344.1927153523943,6.69853e-17,nan
3347.416008013112,9.85257e-17,nan
3350.6392915680203,1.28297e-16,nan
3353.862584228738,1.25025e-16,nan
3357.0858677836454,6.16586e-17,nan
3360.3091604443634,3.04108e-17,nan
3363.5324439992714,6.12928e-17,nan
3366.755736659989,8.13714e-17,nan
3369.979020214897,7.32059e-17,nan
3373.2023128756146,9.91539e-17,nan
3376.4255964305225,9.59039e-17,nan
3379.6488890912397,7.30973e-17,nan
3382.872172646148,7.85273e-17,nan
3386.0954653068657,1.03503e-16,nan
3389.318748861773,1.12243e-16,nan
3392.542041522491,9.19754e-17,nan
3395.765334183209,7.35617e-17,nan
3398.988617738117,6.95755e-17,nan
3402.2119103988343,6.67592e-17,nan
3405.4351939537423,6.96945e-17,nan
3408.65848661446,1.05043e-16,nan
3411.881770169368,9.74956e-17,nan
3415.105062830085,7.37395e-17,nan
3418.3283463849934,6.77487e-17,nan
3421.551639045711,5.69014e-17,nan
3424.774922600619,7.34604e-17,nan
3427.9982152613366,8.18286e-17,nan
3431.2214988162445,9.45696e-17,nan
3434.444791476962,9.70893e-17,nan
3437.66807503187,1.01095e-16,nan
3440.8913676925877,8.51782e-17,nan
3444.1146512474957,8.7212e-17,nan
3447.337943908213,9.14661e-17,nan
3450.561227463121,9.55114e-17,nan
3453.784520123839,8.54724e-17,nan
3457.0078127845563,8.69419e-17,nan
3460.2310963394643,8.73443e-17,nan
3463.454389000182,8.58941e-17,nan
3466.67767255509,7.73581e-17,nan
3469.9009652158074,8.73399e-17,nan
3473.1242487707154,9.58583e-17,nan
3476.347541431433,8.25543e-17,nan
3479.5708249863414,8.98207e-17,nan
3482.794117647059,9.6577e-17,nan
3486.0174012019665,1.0073e-16,nan
3489.240693862684,9.08529e-17,nan
3492.4639774175926,8.19593e-17,nan
3495.6872700783097,7.59552e-17,nan
3498.9105536332177,7.82644e-17,nan
3502.133846293935,8.65266e-17,nan
3505.357129848843,8.6576e-17,nan
3508.580422509561,7.71671e-17,nan
3511.803706064469,7.52977e-17,nan
3515.026998725187,8.75697e-17,nan
3518.2502913859043,9.61964e-17,nan
3521.473574940812,9.9843e-17,nan
3524.6968676015294,1.05754e-16,nan
3527.920151156438,9.8628e-17,nan
3531.143443817155,9.36096e-17,nan
3534.366727372063,8.96866e-17,nan
3537.590020032781,8.60186e-17,nan
3540.8133035876886,8.74388e-17,nan
3544.036596248406,9.31349e-17,nan
3547.2598798033146,9.18018e-17,nan
3550.483172464032,8.61304e-17,nan
3553.7064560189397,8.49526e-17,nan
3556.929748679657,8.30284e-17,nan
3560.1530322345657,9.38546e-17,nan
3563.3763248952832,9.73731e-17,nan
3566.5996084501908,9.06234e-17,nan
3569.822901110909,8.94301e-17,nan
3573.0461937716263,8.97356e-17,nan
3576.269477326534,9.08943e-17,nan
3579.4927699872514,8.66378e-17,nan
3582.71605354216,9.04032e-17,nan
3585.9393462028775,1.07153e-16,nan
3589.162629757785,1.11001e-16,nan
3592.3859224185026,9.83086e-17,nan
3595.609205973411,9.76717e-17,nan
3598.8324986341286,9.96217e-17,nan
3602.0557821890366,9.28536e-17,nan
3605.279074849754,8.80095e-17,nan
3608.5023584046617,8.74485e-17,nan
3611.725651065379,9.23427e-17,nan
3614.9489346202877,1.02894e-16,nan
3618.1722272810052,1.0276e-16,nan
3621.395510835913,1.03854e-16,nan
3624.6188034966303,1.01524e-16,nan
3627.842087051539,1.00479e-16,nan
3631.0653797122563,9.84778e-17,nan
3634.288672372974,9.76865e-17,nan
3637.511955927882,1.02576e-16,nan
3640.7352485885995,1.04571e-16,nan
3643.958532143507,1.00553e-16,nan
3647.1818248042246,9.26588e-17,nan
3650.405108359133,8.86969e-17,nan
3653.6284010198506,8.4328e-17,nan
3656.851684574758,9.25432e-17,nan
3660.074977235476,9.80717e-17,nan
3663.298260790384,9.76456e-17,nan
3666.5215534511017,1.00077e-16,nan
3669.7448370060097,9.5844e-17,nan
3672.9681296667272,9.92085e-17,nan
3676.1914132216352,9.45402e-17,nan
3679.4147058823523,9.28026e-17,nan
3682.637989437261,9.79444e-17,nan
3685.8612820979783,9.61692e-17,nan
3689.084574758696,9.2361e-17,nan
3692.307858313604,9.77197e-17,nan
3695.5311509743215,1.07961e-16,nan
3698.7544345292295,1.04755e-16,nan
3701.977727189947,1.03207e-16,nan
3705.201010744855,1.07514e-16,nan
3708.4243034055726,1.10332e-16,nan
3711.6475869604806,1.15275e-16,nan
3714.870879621198,1.16189e-16,nan
3718.094163176106,1.04562e-16,nan
3721.3174558368237,1.06812e-16,nan
3724.5407393917317,1.11963e-16,nan
3727.7640320524492,1.10643e-16,nan
3730.9873156073577,1.10333e-16,nan
3734.2106082680752,1.10714e-16,nan
3737.4338918229823,1.13256e-16,nan
3740.6571844837,1.12625e-16,nan
3743.8804680386083,1.05348e-16,nan
3747.103760699326,1.05142e-16,nan
3750.327053360043,1.03827e-16,nan
3753.5503369149515,9.81286e-17,nan
3756.773629575669,9.4154e-17,nan
3759.996913130577,9.23116e-17,nan
3763.2202057912946,8.55847e-17,nan
3766.443489346203,8.01666e-17,nan
3769.6667820069206,8.0591e-17,nan
3772.8900655618277,8.19721e-17,nan
3776.113358222546,7.62745e-17,nan
3779.3366417774537,6.88417e-17,nan
3782.5599344381712,6.47319e-17,nan
3785.7832179930792,6.89462e-17,nan
3789.006510653797,7.25084e-17,nan
3792.2297942087052,7.11317e-17,nan
3795.4530868694223,7.01057e-17,nan
3798.676370424331,7.02231e-17,nan
3801.8996630850484,7.1086e-17,nan
3805.1229466399554,6.92452e-17,nan
3808.346239300674,6.51761e-17,nan
3811.5695319613915,6.27976e-17,nan
3814.792815516299,6.45181e-17,nan
3818.0161081770166,6.5835e-17,nan
3821.2393917319246,6.66856e-17,nan
3824.462684392642,6.40114e-17,nan
3827.6859679475506,6.59797e-17,nan
3830.9092606082677,6.96039e-17,nan
3834.132544163176,7.12944e-17,nan
3837.3558368238937,7.29924e-17,nan
3840.5791203788017,7.19493e-17,nan
3843.8024130395193,7.08018e-17,nan
3847.025696594427,6.94093e-17,nan
3850.2489892551444,6.85438e-17,nan
3853.4722728100523,6.71709e-17,nan
3856.69556547077,6.6889e-17,nan
3859.9188490256784,7.01474e-17,nan
3863.142141686396,7.4318e-17,nan
3866.365434347113,7.4373e-17,nan
3869.5887179020215,7.36572e-17,nan
3872.812010562739,7.53663e-17,nan
3876.035294117647,7.74113e-17,nan
3879.2585867783646,7.53628e-17,nan
3882.481870333272,7.12302e-17,nan
3885.7051629939897,7.09768e-17,nan
3888.9284465488977,7.50833e-17,nan
3892.1517392096152,8.19441e-17,nan
3895.3750227645237,8.95971e-17,nan
3898.5983154252413,9.03539e-17,nan
3901.8215989801492,9.07433e-17,nan
3905.044891640867,9.33402e-17,nan
3908.268175195775,9.44204e-17,nan
3911.4914678564924,9.84232e-17,nan
3914.7147514114,1.02475e-16,nan
3917.9380440721175,1.02121e-16,nan
3921.1613276270255,1.0296e-16,nan
3924.384620287743,1.04114e-16,nan
3927.6079129484606,1.04991e-16,nan
3930.831196503369,1.08729e-16,nan
3934.0544891640866,1.11421e-16,nan
3937.2777727189946,1.12129e-16,nan
3940.501065379712,1.16289e-16,nan
3943.72434893462,1.13633e-16,nan
3946.9476415953377,1.1178e-16,nan
3950.1709251502452,1.15276e-16,nan
3953.3942178109637,1.14559e-16,nan
3956.617501365871,1.12674e-16,nan
3959.8407940265884,1.15633e-16,nan
3963.064077581497,1.16517e-16,nan
3966.2873702422144,1.18087e-16,nan
3969.5106537971224,1.18272e-16,nan
3972.73394645784,1.19597e-16,nan
3975.9572300127484,1.19208e-16,nan
3979.1805226734655,1.1822e-16,nan
3982.403806228373,1.20052e-16,nan
3985.6270988890915,1.20194e-16,nan
3988.850391549809,1.20186e-16,nan
3992.073675104716,1.21362e-16,nan
3995.2969677654337,1.2212e-16,nan
3998.520251320342,1.22041e-16,nan
4001.7435439810597,1.21432e-16,nan
4004.9668275359677,1.18905e-16,nan
4008.1901201966853,1.19527e-16,nan
4011.4134037515937,1.2105e-16,nan
4014.636696412311,1.20868e-16,nan
4017.8599799672193,1.20734e-16,nan
