wl,flux,fluxerr
3114.237777058252,0.177306,0.0828021
3116.2001197029012,0.0692654,0.0850659
3118.1624623475504,0.06048,0.0847876
3120.1248049921996,0.116241,0.0835488
3122.087147636849,0.0952066,0.0813652
3124.049490281498,0.057293,0.079031
3126.0118329261472,0.126213,0.0759568
3127.9741755707964,0.0896243,0.0738944
3129.9365182154456,0.0340088,0.0714289
3131.898860860095,0.174918,0.0703813
3133.861203504744,0.104509,0.06934
3135.823546149393,0.0343454,0.0682404
3137.7858887940424,0.0128512,0.067366
3139.748231438691,0.0746022,0.0664146
3141.7105740833404,0.0469317,0.0651984
3143.6729167279896,0.154574,0.0635495
3145.6352593726388,0.0860707,0.0614663
3147.597602017288,0.0520835,0.0595439
3149.559944661937,0.0606006,0.057653
3151.5222873065863,0.0230331,0.0559666
3153.4846299512355,0.145022,0.0548239
3155.4469725958847,0.18953,0.0547241
3157.409315240534,0.126151,0.0556854
3159.371657885183,0.121072,0.0562796
3161.3340005298323,0.00416097,0.0565403
3163.2963431744815,0.058397,0.0559412
3165.2586858191307,0.0333433,0.0543864
3167.22102846378,0.115508,0.0539926
3169.183371108429,0.16239,0.0505649
3171.1457137530783,0.115715,0.0471655
3173.1080563977275,0.0890489,0.0456583
3175.0703990423767,0.0466769,0.04511
3177.032741687026,0.109438,0.0436547
3178.995084331675,0.0727753,0.0431297
3180.9574269763243,0.0926889,0.0432387
3182.9197696209735,0.0947382,0.0429316
3184.8821122656227,0.154137,0.0431394
3186.844454910272,0.109757,0.0434373
3188.806797554921,0.11601,0.0441368
3190.7691401995703,0.21235,0.0423
3192.7314828442195,0.0451721,0.0405936
3194.6938254888687,0.0652533,0.039684
3196.6561681335174,0.0729254,0.0389874
3198.6185107781666,0.140701,0.0376052
3200.580853422816,0.13151,0.0369034
3202.543196067465,0.135018,0.0363244
3204.5055387121142,0.158282,0.0356794
3206.4678813567634,0.0653413,0.0350677
3208.4302240014126,0.0533667,0.0340721
3210.392566646062,0.0800166,0.0336834
3212.354909290711,0.078094,0.0332493
3214.31725193536,0.100047,0.0324631
3216.2795945800094,0.0695363,0.0323208
3218.2419372246586,0.0701605,0.0324197
3220.204279869308,0.117276,0.0320304
3222.166622513957,0.0658709,0.030984
3224.128965158606,0.13773,0.0300478
3226.0913078032554,0.0985119,0.0290156
3228.0536504479046,0.0907372,0.0283172
3230.015993092554,0.0905912,0.0275496
3231.978335737203,0.0863285,0.0272155
3233.940678381852,0.0992969,0.0267545
3235.9030210265014,0.0591236,0.0258907
3237.8653636711506,0.0965242,0.0253958
3239.8277063158,0.0770927,0.0253857
3241.790048960449,0.138494,0.0252312
3243.752391605098,0.135465,0.0247475
3245.7147342497474,0.0903077,0.0240177
3247.6770768943966,0.117786,0.0238597
3249.639419539046,0.0916615,0.0236379
3251.601762183695,0.10651,0.0229188
3253.564104828344,0.140687,0.0223471
3255.526447472993,0.140579,0.0214176
3257.488790117642,0.112157,0.0208124
3259.4511327622913,0.115707,0.0203503
3261.4134754069405,0.107237,0.020138
3263.3758180515897,0.14061,0.0200606
3265.338160696239,0.151668,0.0199114
3267.300503340888,0.111077,0.0196056
3269.2628459855373,0.104139,0.0195051
3271.2251886301865,0.131905,0.0194605
3273.1875312748357,0.123876,0.0195177
3275.149873919485,0.168094,0.0196822
3277.112216564134,0.118613,0.0189149
3279.0745592087833,0.0957451,0.018336
3281.0369018534325,0.110638,0.0181903
3282.9992444980817,0.126932,0.0179848
3284.961587142731,0.131856,0.0177245
3286.92392978738,0.142282,0.0174928
3288.8862724320293,0.101657,0.0168991
3290.8486150766785,0.134474,0.0165264
3292.8109577213277,0.123156,0.0162809
3294.773300365977,0.113994,0.0160196
3296.735643010626,0.123846,0.0156641
3298.6979856552753,0.143834,0.015421
3300.6603282999245,0.141867,0.0150635
3302.6226709445737,0.142069,0.0148485
3304.585013589223,0.106991,0.0146835
3306.547356233872,0.120555,0.0146149
3308.5096988785212,0.106255,0.0146024
3310.4720415231704,0.12529,0.0144148
3312.434384167819,0.127926,0.0139073
3314.3967268124684,0.116237,0.013702
3316.3590694571176,0.117127,0.013508
3318.321412101767,0.104955,0.0131112
3320.283754746416,0.132939,0.0131116
3322.246097391065,0.137329,0.0129296
3324.2084400357144,0.136532,0.0128554
3326.1707826803636,0.118725,0.0127023
3328.1331253250128,0.142455,0.0126513
3330.095467969662,0.107827,0.0123267
3332.057810614311,0.106488,0.0123428
3334.0201532589604,0.123626,0.0122109
3335.9824959036096,0.114318,0.0121638
3337.9448385482588,0.120042,0.0120976
3339.907181192908,0.112489,0.0119574
3341.869523837557,0.0956445,0.0117462
3343.8318664822064,0.126936,0.0115827
3345.7942091268555,0.124076,0.0114646
3347.7565517715047,0.129194,0.0112473
3349.718894416154,0.126227,0.0111431
3351.681237060803,0.130195,0.011069
3353.6435797054523,0.132044,0.0109282
3355.6059223501015,0.12345,0.0107214
3357.5682649947507,0.124261,0.0105882
3359.5306076394,0.124882,0.0104769
3361.492950284049,0.101724,0.0103543
3363.4552929286983,0.110264,0.0103266
3365.4176355733475,0.103696,0.0101768
3367.3799782179967,0.127611,0.0101343
3369.342320862646,0.116103,0.0100282
3371.3046635072947,0.112044,0.00996707
3373.267006151944,0.115803,0.00986643
3375.229348796593,0.120539,0.00981902
3377.1916914412423,0.129435,0.00985146
3379.1540340858915,0.135652,0.00975952
3381.1163767305407,0.11416,0.00962623
3383.07871937519,0.11725,0.00954826
3385.041062019839,0.128126,0.00950995
3387.0034046644882,0.121597,0.00940252
3388.9657473091374,0.123856,0.00934973
3390.9280899537866,0.134404,0.00926754
3392.890432598436,0.115313,0.00910809
3394.852775243085,0.115617,0.00902725
3396.8151178877342,0.120966,0.00896788
3398.7774605323834,0.131987,0.00896041
3400.7398031770326,0.139957,0.00889932
3402.702145821682,0.151883,0.00888194
3404.664488466331,0.132746,0.00876815
3406.62683111098,0.129512,0.0086461
3408.5891737556294,0.124574,0.00850017
3410.5515164002786,0.117489,0.00838115
3412.513859044928,0.142091,0.00829835
3414.476201689577,0.117002,0.00816988
3416.438544334226,0.122864,0.0081221
3418.4008869788754,0.128873,0.0080509
3420.3632296235246,0.119452,0.00798559
3422.325572268174,0.119181,0.00794377
3424.287914912823,0.13318,0.00791907
3426.250257557472,0.134026,0.0078956
3428.212600202121,0.136128,0.0078786
3430.17494284677,0.128293,0.00778402
3432.1372854914193,0.130385,0.00771331
3434.0996281360685,0.138473,0.0076771
3436.0619707807177,0.131431,0.0076411
3438.024313425367,0.13567,0.00754042
3439.986656070016,0.126555,0.00742341
3441.9489987146653,0.112367,0.00726134
3443.9113413593145,0.105843,0.0071823
3445.8736840039637,0.0998937,0.00713159
3447.836026648613,0.120115,0.00712151
3449.798369293262,0.119571,0.00708598
3451.7607119379113,0.134478,0.00709062
3453.7230545825605,0.135764,0.00699444
3455.6853972272097,0.12657,0.00688757
3457.647739871859,0.125588,0.00678619
3459.610082516508,0.140319,0.00675637
3461.5724251611573,0.119365,0.00668492
3463.5347678058065,0.134538,0.00672707
3465.4971104504557,0.130962,0.00678869
3467.459453095105,0.131968,0.00679625
3469.421795739754,0.148648,0.00675821
3471.3841383844033,0.129971,0.00664269
3473.3464810290525,0.131036,0.00658518
3475.3088236737017,0.128335,0.00653901
3477.271166318351,0.140714,0.00651497
3479.233508963,0.134164,0.00649488
3481.1958516076493,0.13431,0.00651452
3483.1581942522985,0.132197,0.0064578
3485.120536896947,0.130601,0.00639784
3487.0828795415964,0.139085,0.00641755
3489.0452221862456,0.137915,0.0063416
3491.007564830895,0.133373,0.00624618
3492.969907475544,0.130105,0.00618862
3494.932250120193,0.128168,0.00609633
3496.8945927648424,0.136593,0.00607659
3498.8569354094916,0.128823,0.0059747
3500.819278054141,0.143322,0.00600394
3502.78162069879,0.138958,0.00594241
3504.743963343439,0.144867,0.00593692
3506.7063059880884,0.143753,0.00587005
3508.6686486327376,0.13873,0.00582896
3510.630991277387,0.137457,0.00577195
3512.593333922036,0.141109,0.00573854
3514.555676566685,0.137318,0.00572253
3516.5180192113344,0.135376,0.00571411
3518.4803618559836,0.14044,0.00572055
3520.4427045006328,0.144614,0.00569538
3522.405047145282,0.140302,0.00564608
3524.367389789931,0.13241,0.00557635
3526.3297324345804,0.134073,0.00556348
3528.2920750792296,0.143546,0.00553406
3530.2544177238788,0.137329,0.00549815
3532.216760368528,0.143511,0.00549236
3534.179103013177,0.150537,0.00547081
3536.1414456578264,0.146837,0.00547077
3538.1037883024756,0.149813,0.00544338
3540.0661309471247,0.141107,0.00542754
3542.028473591774,0.151456,0.00542528
3543.9908162364227,0.158774,0.00539192
3545.953158881072,0.150804,0.0053741
3547.915501525721,0.144857,0.00532208
3549.8778441703703,0.142379,0.00527763
3551.8401868150195,0.150024,0.0052778
3553.8025294596687,0.150376,0.00522639
3555.764872104318,0.142795,0.00518403
3557.727214748967,0.14751,0.00515959
3559.6895573936163,0.142089,0.00515584
3561.6519000382655,0.138171,0.00510571
3563.6142426829147,0.141402,0.00506127
3565.576585327564,0.139441,0.00501036
3567.538927972213,0.139876,0.00494025
3569.5012706168623,0.126974,0.0048705
3571.4636132615115,0.126816,0.00487023
3573.4259559061607,0.1309,0.00489174
3575.38829855081,0.143689,0.00490633
3577.350641195459,0.144439,0.00489948
3579.3129838401082,0.128692,0.00481322
3581.2753264847574,0.129911,0.00478134
3583.2376691294066,0.128533,0.0047178
3585.200011774056,0.120936,0.00467888
3587.162354418705,0.121623,0.00463232
3589.1246970633542,0.128584,0.00464023
3591.0870397080034,0.129395,0.00465928
3593.0493823526526,0.151289,0.00470497
3595.011724997302,0.150658,0.00467594
3596.974067641951,0.158778,0.00468417
3598.9364102866,0.163561,0.00468591
3600.898752931249,0.166559,0.00463758
3602.861095575898,0.15816,0.00456449
3604.8234382205474,0.15444,0.00450453
3606.7857808651966,0.144809,0.0044379
3608.7481235098458,0.147352,0.00438878
3610.710466154495,0.15121,0.00437359
3612.672808799144,0.140564,0.00432385
3614.6351514437933,0.149773,0.00431913
3616.5974940884425,0.152089,0.00430561
3618.5598367330917,0.158287,0.00427423
3620.522179377741,0.151835,0.0042185
3622.48452202239,0.153601,0.00422577
3624.4468646670393,0.166417,0.00425253
3626.4092073116885,0.163965,0.00426239
3628.3715499563377,0.168867,0.00425156
3630.333892600987,0.165044,0.00421298
3632.296235245636,0.155646,0.0041366
3634.2585778902853,0.151823,0.00410227
3636.2209205349345,0.16208,0.00410388
3638.1832631795837,0.170909,0.00412859
3640.145605824233,0.172676,0.00413773
3642.107948468882,0.17499,0.00408992
3644.0702911135313,0.166161,0.00403672
3646.0326337581805,0.162771,0.00396321
3647.9949764028297,0.165322,0.00393681
3649.957319047479,0.165454,0.0039012
3651.919661692128,0.165518,0.00391724
3653.8820043367773,0.168058,0.00392272
3655.8443469814265,0.178677,0.00393871
3657.8066896260752,0.191072,0.0039714
3659.7690322707244,0.190077,0.00393981
3661.7313749153736,0.191957,0.00389611
3663.693717560023,0.192903,0.00385789
3665.656060204672,0.178927,0.00380705
3667.6184028493212,0.181639,0.00378804
3669.5807454939704,0.17579,0.00376747
3671.5430881386196,0.177017,0.00374674
3673.505430783269,0.183897,0.00373886
3675.467773427918,0.185112,0.00371347
3677.430116072567,0.176783,0.00366944
3679.3924587172164,0.175094,0.00362001
3681.3548013618656,0.167308,0.00360699
3683.317144006515,0.169234,0.00361518
3685.279486651164,0.163643,0.00357564
3687.241829295813,0.170854,0.00356634
3689.2041719404624,0.174301,0.00355827
3691.1665145851116,0.185586,0.00358799
3693.128857229761,0.183471,0.00357152
3695.09119987441,0.193124,0.00357534
3697.053542519059,0.188115,0.0035361
3699.0158851637084,0.189206,0.00355209
3700.9782278083576,0.188197,0.00354072
3702.940570453007,0.185127,0.00350833
3704.902913097656,0.17717,0.00344119
3706.865255742305,0.174672,0.00338649
3708.8275983869544,0.17344,0.00335507
3710.7899410316036,0.180868,0.00336918
3712.752283676253,0.182268,0.00339068
3714.714626320902,0.195273,0.00341984
3716.6769689655507,0.189883,0.00336424
3718.6393116102,0.189221,0.00333025
3720.601654254849,0.170129,0.00324003
3722.5639968994983,0.16409,0.00319086
3724.5263395441475,0.173462,0.00323643
3726.4886821887967,0.201877,0.00331842
3728.451024833446,0.223478,0.00338661
3730.413367478095,0.225797,0.00337433
3732.3757101227443,0.20021,0.00325611
3734.3380527673935,0.169464,0.00310638
3736.3003954120427,0.152409,0.00302077
3738.262738056692,0.150779,0.00302231
3740.225080701341,0.165781,0.00308788
3742.1874233459903,0.179796,0.0031229
3744.1497659906395,0.175124,0.00309297
3746.1121086352887,0.164213,0.00302718
3748.074451279938,0.158856,0.00298085
3750.036793924587,0.159522,0.00296889
3751.9991365692363,0.167343,0.00298093
3753.9614792138855,0.179784,0.00304277
