wl,flux,fluxerr
4078.34,3.9494252,nan
4083.87,3.7967594,nan
4089.4,3.8370976,nan
4094.94,3.6617888,nan
4100.49,3.6276284,nan
4106.04,3.6704788,nan
4111.61,3.4549165,nan
4117.18,3.3240898,nan
4122.75,3.2828279,nan
4128.34,3.1996986,nan
4133.93,3.4634032,nan
4139.53,3.6034702,nan
4145.14,3.5442779,nan
4150.75,3.6509893,nan
4156.38,3.8411227,nan
4162.01,3.8268162,nan
4167.65,3.6614276,nan
4173.29,3.7340292,nan
4178.95,3.7687035,nan
4184.61,3.9711999,nan
4190.28,4.0602326,nan
4195.95,4.2501911,nan
4201.64,4.4443912,nan
4207.33,4.4781928,nan
4213.03,4.4905386,nan
4218.74,4.2530806,nan
4224.45,3.9683713,nan
4230.18,3.9200202,nan
4235.91,3.9644755,nan
4241.64,3.8433959,nan
4247.39,3.6625669,nan
4253.15,3.55342,nan
4258.91,3.2233999,nan
4264.68,3.2154068,nan
4270.45,3.542322,nan
4276.24,3.6059917,nan
4282.03,3.7160726,nan
4287.83,3.6392541,nan
4293.64,3.6555167,nan
4299.46,3.7436107,nan
4305.28,3.606789,nan
4311.12,3.533392,nan
4316.96,3.5868883,nan
4322.8,3.5004458,nan
4328.66,3.4223561,nan
4334.52,3.4836842,nan
4340.4,3.3588478,nan
4346.28,3.1537906,nan
4352.16,3.2230923,nan
4358.06,3.4944578,nan
4363.96,3.3356138,nan
4369.88,3.2021424,nan
4375.8,2.99731,nan
4381.72,2.8179432,nan
4387.66,2.7437033,nan
4393.6,2.7491326,nan
4399.56,2.758628,nan
4405.52,2.7220036,nan
4411.48,2.7772445,nan
4417.46,2.8447692,nan
4423.45,2.7495582,nan
4429.44,2.679464,nan
4435.44,2.7008841,nan
4441.45,2.8093116,nan
4447.46,3.0334006,nan
4453.49,3.0043616,nan
4459.52,3.1116989,nan
4465.56,3.1237501,nan
4471.61,3.2057472,nan
4477.67,3.3820723,nan
4483.74,3.3934802,nan
4489.81,3.5278604,nan
4495.89,3.6126287,nan
4501.98,3.6643704,nan
4508.08,3.736324,nan
4514.19,3.8120912,nan
4520.31,3.9282944,nan
4526.43,4.1701012,nan
4532.56,4.3746033,nan
4538.7,4.7040468,nan
4544.85,5.0850318,nan
4551.01,5.0528318,nan
4557.17,5.1215477,nan
4563.35,4.996786,nan
4569.53,5.1699169,nan
4575.72,5.33049,nan
4581.92,5.3503265,nan
4588.13,5.5222014,nan
4594.34,5.4538699,nan
4600.57,5.3858019,nan
4606.8,5.4335246,nan
4613.04,5.6203963,nan
4619.29,5.5962975,nan
4625.55,5.5485656,nan
4631.81,5.7624618,nan
4638.09,6.094517,nan
4644.37,6.2283086,nan
4650.66,6.042405,nan
4656.96,6.0619709,nan
4663.27,5.8416838,nan
4669.59,5.6967718,nan
4675.92,5.5563147,nan
4682.25,5.4477273,nan
4688.59,5.3317467,nan
4694.94,5.2826901,nan
4701.3,5.3042399,nan
4707.67,5.1932822,nan
4714.05,4.9931087,nan
4720.44,4.9064648,nan
4726.83,4.812414,nan
4733.24,4.7925985,nan
4739.65,4.5905039,nan
4746.07,4.357912,nan
4752.5,4.1065019,nan
4758.94,3.9796614,nan
4765.38,3.663442,nan
4771.84,3.3052334,nan
4778.3,3.0675225,nan
4784.78,2.8766216,nan
4791.26,2.8174624,nan
4797.75,2.7392008,nan
4804.25,2.7615801,nan
4810.76,2.7879844,nan
4817.28,2.7952554,nan
4823.8,2.845176,nan
4830.34,2.8798428,nan
4836.88,3.235136,nan
4843.43,3.1853119,nan
4849.99,3.0391619,nan
4856.56,2.9588383,nan
4863.14,2.9327871,nan
4869.73,2.7716463,nan
4876.33,2.7459408,nan
4882.94,2.886827,nan
4889.55,3.0978232,nan
4896.17,3.1543657,nan
4902.81,3.2849518,nan
4909.45,3.4160469,nan
4916.1,3.7458643,nan
4922.76,3.8355242,nan
4929.43,3.9841518,nan
4936.11,4.3830787,nan
4942.79,4.525745,nan
4949.49,4.8530385,nan
4956.2,4.89195,nan
4962.91,4.8569183,nan
4969.63,4.9597946,nan
4976.37,5.004462,nan
4983.11,4.9511408,nan
4989.86,4.8031764,nan
4996.62,4.4410782,nan
5003.39,3.9387979,nan
5010.17,3.8285453,nan
5016.95,3.3909442,nan
5023.75,3.2474007,nan
5030.55,3.179546,nan
5037.37,3.2643207,nan
5044.19,3.3941055,nan
5051.03,3.3671707,nan
5057.87,3.4254133,nan
5064.72,3.6346114,nan
5071.58,3.70252,nan
5078.45,3.7505738,nan
5085.33,3.7826891,nan
5092.22,3.8892536,nan
5099.12,3.9801404,nan
5106.03,3.9433581,nan
5112.95,4.0685505,nan
5119.87,4.1488383,nan
5126.81,4.2088679,nan
5133.75,4.198049,nan
5140.71,4.2546535,nan
5147.67,4.3075099,nan
5154.65,4.2844543,nan
5161.63,4.3166391,nan
5168.62,4.3747355,nan
5175.62,4.4118479,nan
5182.64,4.4449497,nan
5189.66,4.7158224,nan
5196.69,4.8326311,nan
5203.73,4.876328,nan
5210.78,4.9727074,nan
5217.84,5.2318776,nan
5224.91,5.2729967,nan
5231.98,5.3187585,nan
5239.07,5.404638,nan
5246.17,5.4821498,nan
5253.28,5.515484,nan
5260.39,5.9743884,nan
5267.52,6.0903651,nan
5274.66,6.1077589,nan
5281.8,5.9756882,nan
5288.96,5.8742675,nan
5296.12,5.8995639,nan
5303.3,5.9476786,nan
5310.48,6.1657448,nan
5317.67,6.2883005,nan
5324.88,6.1987633,nan
5332.09,6.0062727,nan
5339.32,5.863366,nan
5346.55,5.6351556,nan
5353.79,5.6861635,nan
5361.05,5.8264364,nan
5368.31,5.8258318,nan
5375.58,5.8390322,nan
5382.86,5.8471812,nan
5390.16,5.8074122,nan
5397.46,5.7479147,nan
5404.77,5.630249,nan
5412.09,5.6266181,nan
5419.42,5.5311418,nan
5426.77,5.6420691,nan
5434.12,5.8062806,nan
