wl,flux,fluxerr
4609.56,2.323678e-14,nan
4610.1595337,2.323678e-14,nan
4610.7590674,2.382062e-14,nan
4611.3586011,2.230871e-14,nan
4611.9581348,2.153487e-14,nan
4612.5576685,2.202536e-14,nan
4613.1572022,2.192733e-14,nan
4613.7567359,2.284213e-14,nan
4614.3562696,2.451558e-14,nan
4614.9558033,2.496733e-14,nan
4615.555337,2.387284e-14,nan
4616.1548707,2.279152e-14,nan
4616.7544044,2.227835e-14,nan
4617.3539381,2.136755e-14,nan
4617.9534718,2.290834e-14,nan
4618.5530055,2.421365e-14,nan
4619.1525392,2.230951e-14,nan
4619.7520729,2.298683e-14,nan
4620.3516066,2.294597e-14,nan
4620.9511403,2.430166e-14,nan
4621.550674,2.481216e-14,nan
4622.1502077,2.173484e-14,nan
4622.7497414,2.379649e-14,nan
4623.3492751,2.374838e-14,nan
4623.9488088,2.130077e-14,nan
4624.5483425,2.128553e-14,nan
4625.1478762,2.256405e-14,nan
4625.7474099,2.175836e-14,nan
4626.3469436,2.104336e-14,nan
4626.9464773,2.218834e-14,nan
4627.546011,2.36281e-14,nan
4628.1455447,2.36692e-14,nan
4628.7450784,2.316068e-14,nan
4629.3446121,2.14793e-14,nan
4629.9441458,2.082217e-14,nan
4630.5436795,2.224808e-14,nan
4631.1432132,2.392524e-14,nan
4631.7427469,2.518357e-14,nan
4632.3422806,2.280625e-14,nan
4632.9418143,2.190887e-14,nan
4633.541348,2.395656e-14,nan
4634.1408817,2.39754e-14,nan
4634.7404154,2.503382e-14,nan
4635.3399491,2.409303e-14,nan
4635.9394828,2.299746e-14,nan
4636.5390165,2.377509e-14,nan
4637.1385502,2.433242e-14,nan
4637.7380839,2.508024e-14,nan
4638.3376176,2.314717e-14,nan
4638.9371513,2.131135e-14,nan
4639.536685,2.250469e-14,nan
4640.1362187,2.39235e-14,nan
4640.7357524,2.366733e-14,nan
4641.3352861,2.484139e-14,nan
4641.9348198,2.482244e-14,nan
4642.5343535,2.380262e-14,nan
4643.1338872,2.496913e-14,nan
4643.7334209,2.438211e-14,nan
4644.3329546,2.536591e-14,nan
4644.9324883,2.593055e-14,nan
4645.532022,2.368979e-14,nan
4646.1315557,2.122628e-14,nan
4646.7310894,2.077965e-14,nan
4647.3306231,2.312834e-14,nan
4647.9301568,2.234882e-14,nan
4648.5296905,2.016125e-14,nan
4649.1292242,2.185281e-14,nan
4649.7287579,2.242273e-14,nan
4650.3282916,2.256757e-14,nan
4650.9278253,2.149408e-14,nan
4651.527359,2.164032e-14,nan
4652.1268927,2.451186e-14,nan
4652.7264264,2.509418e-14,nan
4653.3259601,2.491366e-14,nan
4653.9254938,2.459507e-14,nan
4654.5250275,2.475267e-14,nan
4655.1245612,2.529728e-14,nan
4655.7240949,2.46421e-14,nan
4656.3236286,2.420579e-14,nan
4656.9231623,2.349502e-14,nan
4657.522696,2.396564e-14,nan
4658.1222297,2.541205e-14,nan
4658.7217634,2.44025e-14,nan
4659.3212971,2.268319e-14,nan
4659.9208308,2.260077e-14,nan
4660.5203645,2.385472e-14,nan
4661.1198982,2.452827e-14,nan
4661.7194319,2.419181e-14,nan
4662.3189656,2.459045e-14,nan
4662.9184993,2.540443e-14,nan
4663.518033,2.697317e-14,nan
4664.1175667,2.787264e-14,nan
4664.7171004,2.616248e-14,nan
4665.3166341,2.411351e-14,nan
4665.9161678,2.357646e-14,nan
4666.5157015,2.45651e-14,nan
4667.1152352,2.457869e-14,nan
4667.7147689,2.253359e-14,nan
4668.3143026,2.174021e-14,nan
4668.9138363,2.334406e-14,nan
4669.51337,2.264427e-14,nan
4670.1129037,2.225153e-14,nan
4670.7124374,2.500039e-14,nan
4671.3119711,2.528299e-14,nan
4671.9115048,2.339799e-14,nan
4672.5110385,2.222834e-14,nan
4673.1105722,2.195013e-14,nan
4673.7101059,2.167866e-14,nan
4674.3096396,2.149767e-14,nan
4674.9091733,2.162736e-14,nan
4675.508707,2.411747e-14,nan
4676.1082407,2.543083e-14,nan
4676.7077744,2.407776e-14,nan
4677.3073081,2.307001e-14,nan
4677.9068418,2.20361e-14,nan
4678.5063755,2.019934e-14,nan
4679.1059092,2.17358e-14,nan
4679.7054429,2.4389e-14,nan
4680.3049766,2.401139e-14,nan
4680.9045103,2.330428e-14,nan
4681.504044,2.147434e-14,nan
4682.1035777,2.152832e-14,nan
4682.7031114,2.304997e-14,nan
4683.3026451,2.43315e-14,nan
4683.9021788,2.54813e-14,nan
4684.5017125,2.425038e-14,nan
4685.1012462,2.303356e-14,nan
4685.7007799,2.207296e-14,nan
4686.3003136,2.206506e-14,nan
4686.8998473,2.380586e-14,nan
4687.499381,2.411428e-14,nan
4688.0989147,2.352547e-14,nan
4688.6984484,2.24938e-14,nan
4689.2979821,2.237233e-14,nan
4689.8975158,2.282334e-14,nan
4690.4970495,2.19453e-14,nan
4691.0965832,2.264359e-14,nan
4691.6961169,2.109946e-14,nan
4692.2956506,1.974976e-14,nan
4692.8951843,2.105454e-14,nan
4693.494718,2.089764e-14,nan
4694.0942517,1.994975e-14,nan
4694.6937854,2.097885e-14,nan
4695.2933191,2.064647e-14,nan
4695.8928528,2.039806e-14,nan
4696.4923865,2.267572e-14,nan
4697.0919202,2.207841e-14,nan
4697.6914539,2.23914e-14,nan
4698.2909876,2.244179e-14,nan
4698.8905213,2.268282e-14,nan
4699.490055,2.377823e-14,nan
4700.0895887,2.25528e-14,nan
4700.6891224,2.092195e-14,nan
4701.2886561,2.288795e-14,nan
4701.8881898,2.423079e-14,nan
4702.4877235,2.307593e-14,nan
4703.0872572,2.314177e-14,nan
4703.6867909,2.317788e-14,nan
4704.2863246,2.256326e-14,nan
4704.8858583,2.175912e-14,nan
4705.485392,2.196944e-14,nan
4706.0849257,2.24954e-14,nan
4706.6844594,2.226762e-14,nan
4707.2839931,2.476535e-14,nan
4707.8835268,2.647672e-14,nan
4708.4830605,2.476985e-14,nan
4709.0825942,2.197659e-14,nan
4709.6821279,2.15542e-14,nan
4710.2816616,2.330894e-14,nan
4710.8811953,2.241573e-14,nan
4711.480729,2.166355e-14,nan
4712.0802627,2.228288e-14,nan
4712.6797964,2.200551e-14,nan
4713.2793301,2.251413e-14,nan
4713.8788638,2.418339e-14,nan
4714.4783975,2.335543e-14,nan
4715.0779312,2.169014e-14,nan
4715.6774649,2.206507e-14,nan
4716.2769986,2.236497e-14,nan
4716.8765323,2.104316e-14,nan
4717.476066,2.010752e-14,nan
4718.0755997,2.111382e-14,nan
4718.6751334,2.281966e-14,nan
4719.2746671,2.269217e-14,nan
4719.8742008,2.076156e-14,nan
4720.4737345,2.052956e-14,nan
4721.0732682,2.064377e-14,nan
4721.6728019,2.059247e-14,nan
4722.2723356,2.137866e-14,nan
4722.8718693,2.18155e-14,nan
4723.471403,2.116377e-14,nan
4724.0709367,2.306647e-14,nan
4724.6704704,2.393976e-14,nan
4725.2700041,2.326806e-14,nan
4725.8695378,2.279779e-14,nan
4726.4690715,2.011447e-14,nan
4727.0686052,2.221747e-14,nan
4727.6681389,2.449878e-14,nan
4728.2676726,2.395612e-14,nan
4728.8672063,2.303083e-14,nan
4729.46674,2.228346e-14,nan
4730.0662737,2.169129e-14,nan
4730.6658074,2.174665e-14,nan
4731.2653411,2.280096e-14,nan
4731.8648748,2.296938e-14,nan
4732.4644085,2.207021e-14,nan
4733.0639422,2.322288e-14,nan
4733.6634759,2.361858e-14,nan
4734.2630096,2.082929e-14,nan
4734.8625433,1.914742e-14,nan
4735.462077,2.053211e-14,nan
4736.0616107,2.080824e-14,nan
4736.6611444,2.016237e-14,nan
4737.2606781,2.014888e-14,nan
4737.8602118,2.057741e-14,nan
4738.4597455,2.029229e-14,nan
4739.0592792,2.056901e-14,nan
4739.6588129,2.255887e-14,nan
4740.2583466,2.114572e-14,nan
4740.8578803,2.114571e-14,nan
4741.457414,2.253172e-14,nan
4742.0569477,2.116552e-14,nan
4742.6564814,1.899839e-14,nan
4743.2560151,1.932387e-14,nan
4743.8555488,2.063798e-14,nan
4744.4550825,2.219543e-14,nan
4745.0546162,2.291881e-14,nan
4745.6541499,2.187268e-14,nan
4746.2536836,2.107867e-14,nan
4746.8532173,2.184217e-14,nan
4747.452751,2.181535e-14,nan
4748.0522847,2.013385e-14,nan
4748.6518184,1.961083e-14,nan
4749.2513521,2.070924e-14,nan
4749.8508858,1.95565e-14,nan
4750.4504195,2.060814e-14,nan
4751.0499532,2.149585e-14,nan
4751.6494869,2.022129e-14,nan
4752.2490206,2.046926e-14,nan
4752.8485543,2.300719e-14,nan
4753.448088,2.349523e-14,nan
4754.0476217,2.274043e-14,nan
4754.6471554,2.19207e-14,nan
4755.2466891,2.070207e-14,nan
4755.8462228,2.051342e-14,nan
4756.4457565,2.297024e-14,nan
4757.0452902,2.370406e-14,nan
4757.6448239,2.280556e-14,nan
4758.2443576,2.078896e-14,nan
4758.8438913,1.93524e-14,nan
4759.443425,2.183368e-14,nan
4760.0429587,2.33176e-14,nan
4760.6424924,2.375985e-14,nan
4761.2420261,2.304635e-14,nan
4761.8415598,2.242939e-14,nan
4762.4410935,2.32435e-14,nan
4763.0406272,2.227429e-14,nan
4763.6401609,2.208083e-14,nan
4764.2396946,2.039433e-14,nan
4764.8392283,2.033315e-14,nan
4765.438762,2.279464e-14,nan
4766.0382957,2.130813e-14,nan
4766.6378294,2.198217e-14,nan
4767.2373631,2.23527e-14,nan
4767.8368968,2.30154e-14,nan
4768.4364305,2.478737e-14,nan
4769.0359642,2.465576e-14,nan
4769.6354979,2.321127e-14,nan
4770.2350316,2.139823e-14,nan
4770.8345653,2.0007e-14,nan
4771.434099,1.948074e-14,nan
4772.0336327,1.985479e-14,nan
4772.6331664,2.047415e-14,nan
4773.2327001,2.029904e-14,nan
4773.8322338,2.069773e-14,nan
4774.4317675,2.178311e-14,nan
4775.0313012,2.230085e-14,nan
4775.6308349,2.254525e-14,nan
4776.2303686,2.314488e-14,nan
4776.8299023,2.118414e-14,nan
4777.429436,2.106363e-14,nan
4778.0289697,2.265386e-14,nan
4778.6285034,2.264022e-14,nan
4779.2280371,2.321495e-14,nan
4779.8275708,2.449226e-14,nan
4780.4271045,2.120865e-14,nan
4781.0266382,1.991666e-14,nan
4781.6261719,2.258846e-14,nan
4782.2257056,2.225549e-14,nan
4782.8252393,2.055267e-14,nan
4783.424773,2.036928e-14,nan
4784.0243067,2.277527e-14,nan
4784.6238404,2.324729e-14,nan
4785.2233741,2.108362e-14,nan
4785.8229078,2.156534e-14,nan
4786.4224415,2.223886e-14,nan
4787.0219752,2.157464e-14,nan
4787.6215089,2.099943e-14,nan
4788.2210426,2.109306e-14,nan
4788.8205763,2.172805e-14,nan
4789.42011,2.323506e-14,nan
4790.0196437,2.289565e-14,nan
4790.6191774,2.283245e-14,nan
4791.2187111,2.239973e-14,nan
4791.8182448,2.110841e-14,nan
4792.4177785,2.255606e-14,nan
4793.0173122,2.546724e-14,nan
4793.6168459,2.539092e-14,nan
4794.2163796,2.220131e-14,nan
4794.8159133,2.151548e-14,nan
4795.415447,2.361469e-14,nan
4796.0149807,2.124817e-14,nan
4796.6145144,1.919246e-14,nan
4797.2140481,1.872282e-14,nan
4797.8135818,2.012238e-14,nan
4798.4131155,2.141393e-14,nan
4799.0126492,2.024089e-14,nan
4799.6121829,2.183713e-14,nan
4800.2117166,2.222349e-14,nan
4800.8112503,2.166446e-14,nan
4801.410784,2.175403e-14,nan
4802.0103177,2.100148e-14,nan
4802.6098514,2.03077e-14,nan
4803.2093851,2.156899e-14,nan
4803.8089188,2.256934e-14,nan
4804.4084525,2.169424e-14,nan
4805.0079862,2.102318e-14,nan
4805.6075199,2.249569e-14,nan
4806.2070536,2.364418e-14,nan
4806.8065873,2.209679e-14,nan
4807.406121,2.110451e-14,nan
4808.0056547,2.160623e-14,nan
4808.6051884,2.161889e-14,nan
4809.2047221,2.236144e-14,nan
4809.8042558,2.245574e-14,nan
4810.4037895,2.390898e-14,nan
4811.0033232,2.418862e-14,nan
