wl,flux,fluxerr
3668.2772902080665,1.9339001e-15,1.0562914000000001e-16
3669.7564342766987,1.79022e-15,1.0161348e-16
3671.235578345331,1.8997399e-15,1.0230784000000001e-16
3672.714722413963,1.87798e-15,1.025134e-16
3674.1938664825952,1.8770699e-15,1.0201421000000001e-16
3675.673010551228,1.8701001e-15,1.0069095e-16
3677.15215461986,1.9331299e-15,1.0165704000000001e-16
3678.6312986884923,2.0255402e-15,1.0286633e-16
3680.1104427571245,1.9925099e-15,1.0187118000000001e-16
3681.5895868257567,1.87874e-15,9.9955191e-17
3683.0687308943893,1.9446801e-15,1.0072122e-16
3684.5478749630215,1.96293e-15,1.0111466e-16
3686.0270190316537,1.89878e-15,9.9135793e-17
3687.506163100286,1.85743e-15,9.8055026e-17
3688.985307168918,1.83123e-15,9.7478993e-17
3690.4644512375507,1.8904501e-15,9.7972112e-17
3691.943595306183,1.9310301e-15,9.889973e-17
3693.422739374815,1.9562101e-15,9.8764778e-17
3694.9018834434473,2.05348e-15,9.881762e-17
3696.3810275120795,2.0767101e-15,9.7805221e-17
3697.860171580712,1.85621e-15,9.4519739e-17
3699.3393156493444,1.7015299e-15,9.335978200000001e-17
3700.8184597179766,1.69732e-15,9.3808887e-17
3702.2976037866088,1.76998e-15,9.3887243e-17
3703.776747855241,1.88737e-15,9.3518529e-17
3705.2558919238736,1.9151e-15,9.3510246e-17
3706.735035992506,1.7173899e-15,9.037866500000001e-17
3708.214180061138,1.59858e-15,8.7967665e-17
3709.69332412977,1.70549e-15,8.916996e-17
3711.1724681984024,1.6638401e-15,8.8262441e-17
3712.6516122670346,1.62211e-15,8.7698601e-17
3714.1307563356672,1.50791e-15,8.5877751e-17
3715.6099004042994,1.53491e-15,8.4578578e-17
3717.0890444729316,1.66008e-15,8.4636244e-17
3718.568188541564,1.6740101e-15,8.4771373e-17
3720.047332610196,1.4894499e-15,8.2175692e-17
3721.5264766788287,1.41561e-15,8.0927148e-17
3723.005620747461,1.45039e-15,8.0975882e-17
3724.484764816093,1.48734e-15,8.0746988e-17
3725.9639088847252,1.55635e-15,7.996149100000001e-17
3727.4430529533574,1.49331e-15,7.9491741e-17
3728.92219702199,1.54434e-15,8.0604454e-17
3730.4013410906223,1.49738e-15,7.8477099e-17
3731.8804851592545,1.48937e-15,7.6977453e-17
3733.3596292278867,1.58829e-15,7.7229736e-17
3734.838773296519,1.48671e-15,7.517763900000001e-17
3736.3179173651515,1.46943e-15,7.4377781e-17
