wl,flux,fluxerr
3261.966,5.873649175814221e-15,nan
3262.954,5.5017398785644405e-15,nan
3263.942,5.129830581314651e-15,nan
3264.93,4.91890878953649e-15,nan
3265.918,4.70815047511714e-15,nan
3266.906,3.69210396169951e-15,nan
3267.894,2.6752413320372e-15,nan
3268.882,3.0651485971084804e-15,nan
3269.87,3.45790930442083e-15,nan
3270.858,3.83883886728416e-15,nan
3271.846,4.219731795972531e-15,nan
3272.834,5.00402967150491e-15,nan
3273.822,5.78996740282318e-15,nan
3274.81,3.9207571176790205e-15,nan
3275.798,2.0380415274656e-15,nan
3276.786,2.8524133077902503e-15,nan
3277.774,3.6832643258619605e-15,nan
3278.762,3.98623827021593e-15,nan
3279.75,4.28544545905346e-15,nan
3280.738,5.0431998631177404e-15,nan
3281.726,5.80469730577593e-15,nan
3282.714,6.064465370039881e-15,nan
3283.702,6.3196213399060306e-15,nan
3284.69,5.444325020784221e-15,nan
3285.678,4.5574700900641804e-15,nan
3286.666,4.2842227669941e-15,nan
3287.654,4.01788384464183e-15,nan
3288.642,4.796894540517451e-15,nan
3289.63,5.5887576908182406e-15,nan
3290.618,6.053903292704091e-15,nan
3291.606,6.514692604142221e-15,nan
3292.594,5.7468589315220904e-15,nan
3293.582,4.961365468984661e-15,nan
3294.57,6.320677589991261e-15,nan
3295.558,7.713054065610401e-15,nan
3296.546,7.0228551977708605e-15,nan
3297.534,6.2983747889735805e-15,nan
3298.522,6.3437617789027805e-15,nan
3299.51,6.4026276041216406e-15,nan
3300.498,5.5929200107210506e-15,nan
3301.486,4.767094227367151e-15,nan
3302.474,4.0282422105538e-15,nan
3303.462,3.2910959063379903e-15,nan
3304.45,5.2283998053866305e-15,nan
3305.438,7.218143725958031e-15,nan
3306.426,7.25350989260473e-15,nan
3307.414,7.24849630458994e-15,nan
3308.402,7.91458692068472e-15,nan
3309.39,8.59525158566996e-15,nan
3310.378,7.938424121886351e-15,nan
3311.366,7.251135659253581e-15,nan
3312.354,6.8796371729832105e-15,nan
3313.342,6.515665421482141e-15,nan
3314.33,6.637880840826151e-15,nan
3315.318,6.772200360986421e-15,nan
3316.306,7.23317263154116e-15,nan
3317.294,7.7026253959638e-15,nan
3318.282,7.47607711685822e-15,nan
3319.27,7.23071877709296e-15,nan
3320.258,7.83212656920362e-15,nan
3321.246,8.457324128670861e-15,nan
3322.234,8.23872355970937e-15,nan
3323.222,7.995511601432451e-15,nan
3324.21,7.68506725000017e-15,nan
3325.198,7.37259001949448e-15,nan
3326.186,8.04546875762856e-15,nan
3327.174,8.74920405899817e-15,nan
3328.162,8.373462784695e-15,nan
3329.15,7.962753449230341e-15,nan
3330.138,8.007644501368921e-15,nan
3331.126,8.06778638172282e-15,nan
3332.114,7.41377360842293e-15,nan
3333.102,6.735082953721271e-15,nan
3334.09,6.514966619300661e-15,nan
3335.078,6.311193785597321e-15,nan
3336.066,6.196760481456221e-15,nan
3337.054,6.0856081594363e-15,nan
3338.042,6.69897436269629e-15,nan
3339.03,7.33973869366817e-15,nan
3340.018,7.090056674223651e-15,nan
3341.006,6.80573100723643e-15,nan
3341.994,6.837455355726421e-15,nan
3342.982,6.881476505028171e-15,nan
3343.97,6.895260272178841e-15,nan
3344.958,6.907801865512361e-15,nan
3345.946,6.410219560427881e-15,nan
3346.934,5.891672766382371e-15,nan
3347.922,5.936087362488131e-15,nan
3348.91,6.00425530353373e-15,nan
3349.898,6.257685020253381e-15,nan
3350.886,6.51913571546705e-15,nan
3351.874,7.4252271879357e-15,nan
3352.862,8.35993820962619e-15,nan
3353.85,8.33742576795407e-15,nan
3354.838,8.27135635103528e-15,nan
3355.826,8.07402986157703e-15,nan
3356.814,7.870585253140751e-15,nan
3357.802,7.47158191300714e-15,nan
3358.79,7.063246387377161e-15,nan
3359.778,7.16438593292758e-15,nan
3360.766,7.29040410668829e-15,nan
3361.754,7.600522350435881e-15,nan
3362.742,7.91983598385886e-15,nan
3363.73,8.063409762484351e-15,nan
3364.718,8.19800922703369e-15,nan
3365.706,7.953732548342081e-15,nan
3366.694,7.68968442659565e-15,nan
3367.682,7.24171665288011e-15,nan
3368.67,6.78394404928363e-15,nan
3369.658,7.33889589588565e-15,nan
3370.646,7.94896968207967e-15,nan
3371.634,8.677337548588381e-15,nan
3372.622,9.412276696701881e-15,nan
3373.61,8.35868375383131e-15,nan
3374.598,7.20370943750387e-15,nan
