wl,flux,fluxerr
3918.355362095715,7.0892,nan
3920.3393394942445,7.04598,nan
3922.323316892774,7.1929,nan
3924.3072942913036,7.39124,nan
3926.291271689833,7.71611,nan
3928.2752490883627,7.76554,nan
3930.2592264868917,7.6734,nan
3932.2432038854213,7.62248,nan
3934.227181283951,7.73357,nan
3936.2111586824803,7.7364,nan
3938.19513608101,7.61506,nan
3940.1791134795394,7.77257,nan
3942.163090878069,7.84312,nan
3944.1470682765985,7.66596,nan
3946.1310456751276,7.53811,nan
3948.115023073657,7.52475,nan
3950.0990004721866,7.55727,nan
3952.082977870716,7.81767,nan
3954.0669552692457,7.95293,nan
3956.050932667775,8.07256,nan
3958.0349100663047,7.86017,nan
3960.0188874648343,7.52085,nan
3962.002864863364,7.52423,nan
3963.986842261893,7.64589,nan
3965.9708196604224,7.77502,nan
3967.954797058952,7.62982,nan
3969.9387744574815,7.61685,nan
3971.922751856011,7.78282,nan
3973.9067292545406,7.66386,nan
3975.89070665307,7.57193,nan
3977.8746840515996,7.50959,nan
3979.8586614501287,7.46531,nan
3981.842638848658,7.32154,nan
3983.8266162471878,7.19053,nan
3985.8105936457173,7.1786,nan
3987.794571044247,7.47475,nan
3989.7785484427764,7.36133,nan
3991.762525841306,6.72694,nan
3993.7465032398354,6.37398,nan
3995.7304806383645,6.32869,nan
3997.714458036894,6.54532,nan
3999.6984354354236,6.51122,nan
4001.682412833953,6.4772,nan
4003.6663902324826,6.40018,nan
4005.650367631012,6.24582,nan
4007.6343450295417,6.25121,nan
4009.618322428071,6.231,nan
4011.6022998266003,6.23751,nan
4013.58627722513,6.24903,nan
4015.5702546236594,6.39888,nan
4017.554232022189,6.75308,nan
4019.5382094207184,6.76326,nan
4021.522186819248,6.75995,nan
4023.5061642177775,6.73605,nan
4025.490141616307,6.41139,nan
4027.474119014836,6.20096,nan
4029.4580964133656,6.50388,nan
4031.442073811895,6.65234,nan
4033.4260512104247,6.56914,nan
4035.4100286089542,6.81904,nan
4037.3940060074838,7.21169,nan
4039.3779834060133,7.47345,nan
4041.361960804543,7.83107,nan
4043.345938203072,8.11155,nan
4045.3299156016014,8.14643,nan
4047.313893000131,8.18679,nan
4049.2978703986605,8.29217,nan
4051.28184779719,8.45999,nan
4053.2658251957196,8.57678,nan
4055.249802594249,9.12988,nan
4057.2337799927786,9.49453,nan
4059.2177573913077,9.18811,nan
4061.2017347898372,8.98529,nan
4063.185712188367,8.98522,nan
4065.1696895868963,9.26223,nan
4067.153666985426,9.5505,nan
4069.1376443839554,9.74699,nan
4071.121621782485,9.67126,nan
4073.1055991810144,9.62078,nan
4075.0895765795435,9.50986,nan
4077.073553978073,9.17276,nan
4079.0575313766026,8.93794,nan
4081.041508775132,8.83999,nan
4083.0254861736616,8.77392,nan
4085.009463572191,8.72615,nan
4086.9934409707207,8.77577,nan
4088.9774183692502,8.93585,nan
4090.9613957677793,8.91584,nan
4092.945373166309,8.67998,nan
4094.9293505648384,8.43391,nan
4096.913327963368,8.51041,nan
4098.897305361897,8.60233,nan
