wl,flux,fluxerr
3672.2606120434357,3.1141401e-15,1.6144926000000003e-16
3673.7413622902272,3.2580599e-15,1.6395033000000002e-16
3675.2221125370193,3.1545601e-15,1.6360299000000001e-16
3676.702862783811,3.1438301e-15,1.6136193000000002e-16
3678.1836130306024,3.18588e-15,1.5986856e-16
3679.6643632773944,3.0318301e-15,1.5639520000000001e-16
3681.145113524186,3.1254999e-15,1.5727069000000001e-16
3682.6258637709775,3.10425e-15,1.5645259e-16
3684.1066140177695,3.0641601e-15,1.5565842000000001e-16
3685.587364264561,3.2434001e-15,1.5895087000000002e-16
3687.0681145113526,2.9752701e-15,1.5483963e-16
3688.5488647581446,2.9516102e-15,1.5264704000000002e-16
3690.029615004936,2.9881402e-15,1.5135608000000002e-16
3691.5103652517278,2.85909e-15,1.4995074000000002e-16
3692.99111549852,2.7002299e-15,1.4847723e-16
3694.4718657453113,2.5604601e-15,1.4616679e-16
3695.952615992103,2.6162201e-15,1.4455253000000001e-16
3697.433366238895,2.3803502e-15,1.3941254000000002e-16
3698.9141164856865,2.16448e-15,1.3566873e-16
3700.394866732478,2.2279899e-15,1.3566891000000002e-16
3701.87561697927,2.26813e-15,1.3527468000000002e-16
3703.3563672260616,2.2371999e-15,1.3379798000000002e-16
3704.837117472853,2.21174e-15,1.3226503e-16
3706.317867719645,1.93141e-15,1.2869573e-16
3707.7986179664367,1.77467e-15,1.255788e-16
3709.2793682132283,1.99012e-15,1.2564725e-16
3710.7601184600203,2.0609e-15,1.2529727e-16
3712.240868706812,1.9354e-15,1.2386569000000002e-16
3713.7216189536034,1.93454e-15,1.2435634e-16
3715.2023692003954,1.9797e-15,1.2507239000000002e-16
3716.683119447187,1.79134e-15,1.2054385e-16
3718.1638696939785,1.7675101e-15,1.1862065e-16
3719.6446199407706,1.8590899e-15,1.1830039e-16
3721.125370187562,1.7456599e-15,1.1699619e-16
3722.6061204343537,1.65857e-15,1.1607664000000002e-16
3724.0868706811457,1.66698e-15,1.1572648e-16
3725.5676209279372,1.6936601e-15,1.1685582e-16
3727.048371174729,1.76309e-15,1.1706142000000001e-16
3728.529121421521,1.48078e-15,1.1390265e-16
3730.0098716683124,1.46666e-15,1.1309209e-16
3731.490621915104,1.38231e-15,1.1008759000000001e-16
3732.971372161896,1.3227201e-15,1.0775782000000001e-16
3734.4521224086875,1.18441e-15,1.0571606000000001e-16
3735.932872655479,1.33502e-15,1.0776695e-16
3737.413622902271,1.398e-15,1.0751003000000001e-16
3738.8943731490626,1.4571001e-15,1.0703201e-16
3740.375123395854,1.52616e-15,1.0686336000000001e-16
3741.855873642646,1.4226201e-15,1.0696528000000001e-16
3743.3366238894378,1.31851e-15,1.0440736000000001e-16
3744.8173741362293,1.24782e-15,1.0490279e-16
3746.298124383021,1.2492401e-15,1.0448298e-16
3747.778874629813,1.24886e-15,1.0029203e-16
3749.2596248766044,1.30708e-15,9.9441677e-17
3750.740375123396,1.19047e-15,9.893500800000001e-17
3752.221125370188,1.14535e-15,9.7519056e-17
3753.7018756169796,1.20575e-15,9.8052834e-17
3755.182625863771,1.1312701e-15,9.7791723e-17
3756.663376110563,1.20341e-15,9.756736000000001e-17
3758.1441263573547,1.16203e-15,9.600503e-17
3759.6248766041463,1.02479e-15,9.5472521e-17
3761.1056268509383,1.03729e-15,9.5693441e-17
3762.58637709773,1.13861e-15,9.5329233e-17
3764.0671273445214,1.08231e-15,9.2814583e-17
3765.5478775913134,1.13815e-15,9.4137321e-17
3767.028627838105,1.23075e-15,9.6178096e-17
3768.5093780848965,1.06669e-15,9.3409924e-17
3769.9901283316885,9.3514904e-16,9.1435991e-17
3771.47087857848,1.05884e-15,9.4202644e-17
3772.9516288252717,1.13905e-15,9.4905801e-17
3774.4323790720637,1.15658e-15,9.3676308e-17
3775.913129318855,1.18238e-15,9.3851866e-17
3777.393879565647,1.24332e-15,9.542478500000001e-17
3778.874629812439,1.18804e-15,9.5027961e-17
3780.3553800592304,1.1061e-15,9.3511486e-17
3781.836130306022,1.08832e-15,9.2724717e-17
3783.316880552814,1.136e-15,9.4452236e-17
3784.7976307996055,1.1152299e-15,9.439855e-17
3786.278381046397,1.0966999e-15,9.3894506e-17
3787.759131293189,1.03911e-15,9.2736819e-17
3789.2398815399806,1.14712e-15,9.2698368e-17
3790.720631786772,1.30577e-15,9.484633300000001e-17
3792.201382033564,1.27687e-15,9.4391935e-17
3793.6821322803557,1.2785e-15,9.3613904e-17
3795.1628825271473,1.31787e-15,9.3550586e-17
3796.6436327739393,1.28746e-15,9.3019972e-17
3798.124383020731,1.21413e-15,9.1648297e-17
3799.6051332675224,1.42834e-15,9.4147645e-17
3801.0858835143144,1.52045e-15,9.5167465e-17
3802.566633761106,1.35797e-15,9.2967959e-17
3804.0473840078976,1.3207601e-15,9.1814239e-17
3805.5281342546896,1.32046e-15,9.2392191e-17
3807.008884501481,1.49797e-15,9.3605261e-17
3808.4896347482727,1.59277e-15,9.3951843e-17
3809.9703849950647,1.63702e-15,9.3724522e-17
3811.4511352418563,1.5845701e-15,9.5488605e-17
3812.931885488648,1.55606e-15,9.4755567e-17
3814.41263573544,1.68277e-15,9.5688087e-17
3815.8933859822314,1.69942e-15,9.556957e-17
3817.374136229023,1.74426e-15,9.5916602e-17
3818.854886475815,1.9534001e-15,9.986471100000001e-17
3820.3356367226065,1.93612e-15,9.8606715e-17
3821.816386969398,1.97353e-15,9.8159868e-17
3823.29713721619,1.95865e-15,9.6967565e-17
3824.7778874629817,1.7842099e-15,9.4463829e-17
3826.258637709773,1.8412999e-15,9.627102300000001e-17
3827.739387956565,2.06907e-15,9.9892225e-17
3829.220138203357,2.0417299e-15,9.890231700000001e-17
3830.7008884501483,2.09229e-15,9.889285500000001e-17
3832.1816386969404,2.27738e-15,1.0035032000000001e-16
3833.662388943732,2.3016901e-15,1.0160775000000001e-16
3835.1431391905235,2.26808e-15,1.0123513000000001e-16
3836.6238894373155,2.43901e-15,1.0205925000000001e-16
3838.104639684107,2.5028199e-15,1.0256306000000001e-16
3839.5853899308986,2.6218802e-15,1.0382266e-16
3841.0661401776906,2.7658e-15,1.0631588000000001e-16
3842.546890424482,2.65012e-15,1.0581505e-16
3844.0276406712737,2.61883e-15,1.0490352000000001e-16
3845.5083909180657,2.79848e-15,1.0610643000000001e-16
3846.9891411648573,2.8006001e-15,1.0596494000000001e-16
3848.469891411649,2.7649601e-15,1.0609213000000001e-16
3849.950641658441,2.92483e-15,1.0848439000000001e-16
3851.4313919052324,3.0470801e-15,1.1045024000000001e-16
3852.912142152024,3.0650999e-15,1.1070941000000001e-16
3854.392892398816,3.14154e-15,1.1185476000000001e-16
3855.8736426456076,3.1124499e-15,1.1215487000000002e-16
3857.354392892399,3.1419002e-15,1.1250579000000002e-16
3858.8351431391907,3.21928e-15,1.1442837000000002e-16
3860.3158933859827,3.22698e-15,1.1465301e-16
