wl,flux,fluxerr
4412.932835162249,4.56105,nan
4417.836093867984,4.57932,nan
4422.739352573721,4.55047,nan
4427.642611279456,4.45621,nan
4432.545869985192,4.395,nan
4437.449128690928,4.30594,nan
4442.352387396663,4.25252,nan
4447.2556461024,4.27298,nan
4452.158904808135,4.25437,nan
4457.062163513871,4.30007,nan
4461.965422219607,4.3263,nan
4466.868680925343,4.40368,nan
4471.771939631079,4.55209,nan
4476.675198336815,4.70709,nan
4481.57845704255,4.81709,nan
4486.481715748286,4.9546,nan
4491.384974454022,5.02798,nan
4496.2882331597575,5.10545,nan
4501.191491865494,5.24426,nan
4506.094750571229,5.32941,nan
4510.998009276966,5.30671,nan
4515.901267982701,5.28778,nan
4520.804526688437,5.30182,nan
4525.707785394173,5.29167,nan
4530.611044099909,5.31234,nan
4535.514302805645,5.25137,nan
4540.41756151138,5.19546,nan
4545.320820217116,5.14947,nan
4550.224078922852,5.09681,nan
4555.127337628588,4.95444,nan
4560.0305963343235,4.87332,nan
4564.93385504006,4.84558,nan
4569.837113745795,4.8533,nan
4574.740372451532,4.87611,nan
4579.643631157267,4.84126,nan
4584.546889863002,4.8301,nan
4589.450148568739,4.90351,nan
4594.353407274474,4.97544,nan
4599.2566659802105,4.97022,nan
4604.159924685946,4.94935,nan
4609.063183391682,4.99997,nan
4613.966442097418,5.05594,nan
4618.869700803154,5.02021,nan
4623.7729595088895,4.9304,nan
4628.676218214625,4.89338,nan
4633.579476920361,4.84616,nan
4638.482735626097,4.70654,nan
4643.385994331833,4.60204,nan
4648.289253037568,4.49716,nan
4653.192511743305,4.41083,nan
4658.09577044904,4.32276,nan
4662.9990291547765,4.26207,nan
4667.902287860512,4.2135,nan
4672.805546566247,4.1627,nan
4677.708805271984,4.1228,nan
4682.612063977719,4.10725,nan
4687.515322683455,4.10573,nan
4692.418581389191,4.12732,nan
4697.321840094927,4.06764,nan
4702.225098800663,4.03745,nan
4707.128357506399,4.03847,nan
4712.031616212134,4.07289,nan
4716.934874917871,4.05839,nan
4721.838133623606,4.04972,nan
4726.741392329342,4.05714,nan
4731.644651035078,4.01456,nan
4736.547909740813,4.02794,nan
4741.45116844655,4.0447,nan
4746.354427152285,3.95892,nan
4751.257685858021,3.90076,nan
4756.160944563757,3.81225,nan
4761.064203269493,3.74614,nan
4765.967461975229,3.71257,nan
4770.870720680964,3.66801,nan
4775.7739793867,3.63449,nan
4780.677238092436,3.61221,nan
4785.580496798172,3.58351,nan
4790.483755503908,3.5554,nan
4795.387014209644,3.5116,nan
4800.290272915379,3.49225,nan
4805.193531621116,3.44107,nan
4810.096790326851,3.35862,nan
4815.0000490325865,3.27352,nan
4819.903307738323,3.22322,nan
4824.806566444058,3.15493,nan
4829.709825149795,3.08069,nan
4834.61308385553,3.00336,nan
4839.516342561266,2.89468,nan
4844.419601267002,2.82933,nan
4849.322859972738,2.76894,nan
4854.2261186784735,2.73366,nan
4859.12937738421,2.69852,nan
4864.032636089945,2.68738,nan
4868.935894795681,2.71829,nan
4873.839153501417,2.75798,nan
4878.7424122071525,2.84666,nan
4883.645670912889,2.90467,nan
4888.548929618624,2.99426,nan
4893.452188324361,3.16493,nan
4898.355447030096,3.3013,nan
4903.258705735832,3.3901,nan
4908.161964441568,3.47485,nan
4913.065223147303,3.54486,nan
4917.9684818530395,3.59643,nan
4922.871740558775,3.60846,nan
4927.774999264511,3.56057,nan
4932.678257970247,3.50814,nan
4937.581516675983,3.44272,nan
4942.4847753817185,3.36551,nan
4947.388034087455,3.30931,nan
4952.29129279319,3.27386,nan
4957.194551498926,3.28486,nan
4962.097810204662,3.26012,nan
4967.001068910397,3.2239,nan
4971.904327616134,3.22651,nan
4976.807586321869,3.21055,nan
4981.7108450276055,3.19222,nan
4986.614103733341,3.19516,nan
4991.517362439077,3.2073,nan
4996.420621144813,3.18396,nan
5001.323879850548,3.14196,nan
5006.227138556284,3.16029,nan
5011.13039726202,3.16595,nan
5016.033655967756,3.15203,nan
5020.936914673492,3.12749,nan
5025.840173379228,3.18353,nan
5030.743432084963,3.22465,nan
5035.6466907907,3.24331,nan
5040.549949496435,3.27382,nan
5045.4532082021715,3.30046,nan
5050.356466907907,3.33979,nan
5055.259725613642,3.3892,nan
5060.162984319379,3.42348,nan
5065.066243025114,3.44861,nan
5069.96950173085,3.51201,nan
5074.872760436586,3.5584,nan
5079.776019142322,3.59856,nan
5084.679277848058,3.64458,nan
5089.582536553794,3.65778,nan
5094.485795259529,3.72448,nan
5099.389053965265,3.76889,nan
5104.292312671001,3.81447,nan
5109.195571376737,3.83738,nan
5114.098830082473,3.83307,nan
5119.002088788208,3.82418,nan
5123.905347493945,3.80284,nan
5128.80860619968,3.82787,nan
5133.711864905416,3.82078,nan
5138.615123611152,3.77947,nan
5143.518382316887,3.74036,nan
5148.421641022624,3.69345,nan
5153.324899728359,3.69312,nan
5158.228158434095,3.63803,nan
5163.131417139831,3.58723,nan
5168.034675845567,3.5551,nan
5172.9379345513025,3.53163,nan
5177.841193257039,3.51507,nan
5182.744451962774,3.49771,nan
5187.64771066851,3.50097,nan
5192.550969374246,3.52328,nan
5197.4542280799815,3.55249,nan
5202.357486785718,3.53535,nan
5207.260745491453,3.54989,nan
5212.16400419719,3.55083,nan
5217.067262902925,3.49992,nan
5221.970521608661,3.44361,nan
5226.873780314397,3.38481,nan
5231.777039020133,3.29166,nan
5236.6802977258685,3.19631,nan
5241.583556431604,3.07618,nan
5246.48681513734,2.94,nan
5251.390073843076,2.80541,nan
5256.293332548812,2.69284,nan
5261.1965912545475,2.5877,nan
5266.099849960284,2.57692,nan
5271.003108666019,2.47832,nan
5275.906367371756,2.38099,nan
5280.809626077491,2.3595,nan
5285.712884783226,2.36417,nan
5290.616143488963,2.35028,nan
5295.519402194698,2.39299,nan
5300.4226609004345,2.37891,nan
5305.32591960617,2.41629,nan
5310.229178311906,2.46439,nan
5315.132437017642,2.51524,nan
5320.035695723378,2.54216,nan
5324.938954429113,2.56254,nan
5329.842213134849,2.59229,nan
5334.745471840585,2.61379,nan
5339.648730546321,2.61718,nan
5344.551989252057,2.62457,nan
5349.455247957792,2.66762,nan
5354.358506663529,2.68056,nan
5359.261765369264,2.69519,nan
5364.1650240750005,2.72329,nan
5369.068282780736,2.76034,nan
5373.971541486471,2.81239,nan
5378.874800192208,2.80746,nan
5383.778058897943,2.81931,nan
5388.681317603679,2.82216,nan
5393.584576309415,2.8031,nan
5398.487835015151,2.82196,nan
5403.391093720887,2.79842,nan
5408.294352426623,2.75289,nan
5413.197611132358,2.70876,nan
5418.100869838095,2.6685,nan
5423.00412854383,2.61966,nan
5427.9073872495655,2.54672,nan
5432.810645955302,2.48937,nan
5437.713904661037,2.43651,nan
5442.617163366774,2.39054,nan
5447.520422072509,2.31716,nan
5452.423680778245,2.25424,nan
5457.326939483981,2.20006,nan
5462.230198189717,2.16261,nan
5467.133456895453,2.12998,nan
5472.036715601188,2.12466,nan
5476.939974306924,2.14981,nan
5481.84323301266,2.15653,nan
5486.746491718396,2.18853,nan
5491.6497504241315,2.26138,nan
5496.553009129868,2.34001,nan
5501.456267835603,2.42081,nan
5506.35952654134,2.50449,nan
5511.262785247075,2.57349,nan
5516.1660439528105,2.655,nan
5521.069302658547,2.7319,nan
5525.972561364282,2.79767,nan
5530.875820070019,2.85205,nan
5535.779078775754,2.87787,nan
5540.68233748149,2.92759,nan
5545.585596187226,2.97208,nan
5550.488854892962,2.98963,nan
5555.3921135986975,3.01054,nan
5560.295372304434,3.03657,nan
5565.198631010169,3.06313,nan
5570.101889715905,3.06335,nan
5575.005148421641,3.05761,nan
5579.908407127376,3.04074,nan
5584.811665833113,3.05153,nan
5589.714924538848,3.02527,nan
5594.6181832445845,3.00167,nan
5599.52144195032,3.02006,nan
5604.424700656056,2.99245,nan
5609.327959361792,3.00414,nan
5614.231218067527,3.00978,nan
5619.1344767732635,2.98382,nan
5624.037735478999,2.98299,nan
5628.940994184735,2.99051,nan
5633.844252890471,3.0077,nan
5638.747511596207,2.98611,nan
5643.650770301942,2.94705,nan
5648.554029007679,2.92624,nan
5653.457287713414,2.90147,nan
5658.36054641915,2.86724,nan
5663.263805124886,2.83469,nan
5668.167063830621,2.81257,nan
5673.070322536358,2.77831,nan
5677.973581242093,2.75949,nan
5682.8768399478295,2.75327,nan
5687.780098653565,2.73333,nan
5692.683357359301,2.69489,nan
5697.586616065037,2.68025,nan
5702.489874770772,2.67436,nan
5707.393133476508,2.6842,nan
5712.296392182244,2.68217,nan
5717.19965088798,2.67085,nan
5722.102909593716,2.66327,nan
5727.006168299452,2.672,nan
5731.909427005187,2.65532,nan
5736.812685710924,2.64932,nan
5741.715944416659,2.63938,nan
5746.619203122395,2.63722,nan
5751.522461828131,2.63397,nan
5756.425720533866,2.63214,nan
5761.328979239603,2.62635,nan
5766.232237945338,2.59692,nan
5771.135496651074,2.5715,nan
5776.03875535681,2.5691,nan
5780.942014062546,2.55728,nan
5785.845272768282,2.55785,nan
5790.748531474018,2.57182,nan
5795.651790179753,2.61072,nan
5800.555048885489,2.63948,nan
5805.458307591225,2.67553,nan
5810.3615662969605,2.68128,nan
5815.264825002697,2.68691,nan
5820.168083708432,2.72242,nan
5825.071342414169,2.77233,nan
5829.974601119904,2.79588,nan
5834.87785982564,2.77911,nan
5839.781118531376,2.79973,nan
5844.684377237111,2.82747,nan
5849.587635942848,2.84552,nan
5854.490894648583,2.83621,nan
5859.394153354319,2.81647,nan
5864.297412060055,2.80199,nan
5869.200670765791,2.7924,nan
5874.1039294715265,2.8081,nan
5879.007188177263,2.76949,nan
5883.910446882998,2.75162,nan
5888.813705588734,2.76532,nan
5893.71696429447,2.73223,nan
5898.620223000205,2.68983,nan
5903.523481705942,2.69311,nan
5908.426740411677,2.67617,nan
5913.3299991174135,2.65464,nan
5918.233257823149,2.59207,nan
5923.136516528885,2.52368,nan
5928.039775234621,2.46224,nan
5932.943033940357,2.36123,nan
5937.8462926460925,2.25253,nan
5942.749551351828,2.13422,nan
5947.652810057564,2.00647,nan
5952.5560687633,1.85058,nan
5957.459327469036,1.73304,nan
5962.362586174771,1.64743,nan
5967.265844880508,1.56143,nan
5972.169103586243,1.46825,nan
5977.0723622919795,1.37113,nan
5981.975620997715,1.30347,nan
5986.87887970345,1.25354,nan
5991.782138409187,1.19271,nan
5996.685397114922,1.11817,nan
6001.5886558206585,1.07227,nan
6006.491914526394,1.03533,nan
6011.39517323213,1.00877,nan
6016.298431937866,0.987567,nan
6021.201690643602,0.955624,nan
6026.104949349337,0.946722,nan
6031.008208055073,0.943146,nan
6035.911466760809,0.911663,nan
6040.814725466545,0.903465,nan
6045.717984172281,0.902133,nan
6050.621242878016,0.885085,nan
6055.524501583753,0.895755,nan
6060.427760289488,0.906778,nan
6065.331018995224,0.903465,nan
6070.23427770096,0.899272,nan
6075.137536406695,0.902488,nan
6080.040795112432,0.892217,nan
6084.944053818167,0.891786,nan
6089.847312523903,0.89863,nan
6094.750571229639,0.904982,nan
6099.653829935375,0.917819,nan
6104.557088641111,0.933617,nan
6109.460347346847,0.940155,nan
6114.363606052582,0.949069,nan
6119.266864758319,0.969919,nan
6124.170123464054,0.98796,nan
6129.0733821697895,1.01595,nan
6133.976640875526,1.04469,nan
6138.879899581261,1.07911,nan
6143.783158286998,1.11222,nan
6148.686416992733,1.13177,nan
6153.589675698469,1.16185,nan
6158.492934404205,1.21041,nan
6163.396193109941,1.25646,nan
6168.299451815677,1.32806,nan
6173.202710521412,1.40036,nan
6178.105969227148,1.4816,nan
6183.009227932884,1.55386,nan
6187.91248663862,1.63487,nan
6192.8157453443555,1.71981,nan
6197.719004050092,1.81218,nan
6202.622262755827,1.89969,nan
6207.525521461564,1.98946,nan
6212.428780167299,2.05701,nan
6217.332038873034,2.12183,nan
6222.235297578771,2.20084,nan
6227.138556284506,2.24825,nan
6232.0418149902425,2.29207,nan
6236.945073695978,2.35165,nan
6241.848332401714,2.38429,nan
6246.75159110745,2.42001,nan
6251.654849813186,2.44377,nan
6256.5581085189215,2.47498,nan
6261.461367224658,2.49451,nan
6266.364625930393,2.52047,nan
6271.267884636129,2.55673,nan
6276.171143341865,2.56897,nan
6281.0744020476,2.57056,nan
6285.977660753337,2.59377,nan
6290.880919459072,2.59939,nan
6295.7841781648085,2.62681,nan
6300.687436870544,2.6146,nan
6305.59069557628,2.61434,nan
6310.493954282016,2.61351,nan
