wl,flux,fluxerr
4079.517,5.16196277616874e-15,nan
4081.1716,5.5421331857531005e-15,nan
4082.8262,5.922303171820981e-15,nan
4084.4808,6.149468937945111e-15,nan
4086.1354,6.039776053693311e-15,nan
4087.79,5.930083169441511e-15,nan
4089.4446,5.7890788652615105e-15,nan
4091.0992,5.6292670415206704e-15,nan
4092.7538,5.4694552177798405e-15,nan
4094.4084,5.294160478796141e-15,nan
4096.063,5.11782685390263e-15,nan
4097.7176,5.005198153455651e-15,nan
4099.3722,5.08414670633743e-15,nan
4101.0268,5.16309483570274e-15,nan
4102.6814,5.19115746076175e-15,nan
4104.336,5.17954336850548e-15,nan
4105.9906,5.1679292762492e-15,nan
4107.6452,5.13012746636266e-15,nan
4109.2998,5.088559747992631e-15,nan
4110.9544,5.060593684689611e-15,nan
4112.609,5.09188265824471e-15,nan
4114.2636,5.12317163179981e-15,nan
4115.9182,5.14389175175554e-15,nan
4117.5728,5.1540023605304404e-15,nan
4119.2274,5.1641129693053406e-15,nan
4120.882,5.076793189805851e-15,nan
4122.5366,4.966832219626241e-15,nan
4124.1912,4.866088661978661e-15,nan
4125.8458,4.8305611355554905e-15,nan
4127.5004,4.7950340326488105e-15,nan
4129.155,4.78139256703328e-15,nan
4130.8096,4.79604115482309e-15,nan
4132.4642,4.81068974261291e-15,nan
4134.1188,4.8308427740104605e-15,nan
4135.7734,4.852844878331861e-15,nan
4137.428,4.8730538139039305e-15,nan
4139.0826,4.8656486283625606e-15,nan
4140.7372,4.858243442821191e-15,nan
4142.3918,4.8392965863405305e-15,nan
4144.0464,4.8009810509714806e-15,nan
4145.701,4.762665515602431e-15,nan
4147.3556,4.74251926046846e-15,nan
4149.0102,4.73070060975542e-15,nan
4150.6648,4.71888153552591e-15,nan
4152.3194,4.6839100862326204e-15,nan
4153.974,4.64889501474255e-15,nan
4155.6286,4.63520653879845e-15,nan
4157.2832,4.6688688986717506e-15,nan
4158.9378,4.7025312585450605e-15,nan
4160.5924,4.6780651353800905e-15,nan
4162.247,4.6184035227072906e-15,nan
4163.9016,4.558741910034491e-15,nan
4165.5562,4.5673312476361205e-15,nan
4167.2108,4.5806449115010604e-15,nan
4168.8654,4.60491494653874e-15,nan
4170.52,4.6624666001399305e-15,nan
4172.1746,4.7200186772576e-15,nan
4173.8292,4.75821139284929e-15,nan
4175.4838,4.78119436132362e-15,nan
4177.1384,4.804177753314421e-15,nan
4178.793,4.831082907851e-15,nan
4180.4476,4.858561503692881e-15,nan
