wl,flux,fluxerr
3144.5947623184807,0.0600795,0.692212
3145.5876877249593,-0.227174,0.688943
3146.5806131314384,-0.169392,0.705736
3147.573538537917,-0.490202,0.720863
3148.566463944396,-0.480122,0.728385
3149.559389350875,-0.551715,0.739469
3150.5523147573535,-0.26352,0.720562
3151.5452401638327,0.190477,0.691186
3152.5381655703113,0.0309672,0.713295
3153.5310909767904,-0.482948,0.668055
3154.524016383269,-0.228147,0.657497
3155.5169417897478,0.0712424,0.667769
3156.509867196227,-0.179652,0.643838
3157.5027926027055,-0.384313,0.627035
3158.495718009184,-0.251305,0.622344
3159.4886434156633,-0.0802224,0.615618
3160.481568822142,-0.592683,0.603471
3161.474494228621,-0.700521,0.60203
3162.4674196350998,-0.256036,0.608248
3163.4603450415784,0.0212067,0.589223
3164.4532704480575,-0.25696,0.578816
3165.446195854536,-0.274686,0.588294
3166.4391212610153,-0.0479284,0.57607
3167.432046667494,-0.606406,0.579126
3168.4249720739726,0.127216,0.58364
3169.4178974804518,0.324328,0.58613
3170.4108228869304,0.0821918,0.57439
3171.403748293409,-0.123739,0.550277
3172.396673699888,-0.464177,0.527691
3173.389599106367,-0.15793,0.516322
3174.382524512846,0.519783,0.503922
3175.3754499193246,-0.0427621,0.487792
3176.3683753258033,0.0538072,0.478594
3177.3613007322824,0.618194,0.469801
3178.354226138761,0.160164,0.462514
3179.34715154524,-0.437632,0.453553
3180.340076951719,0.129039,0.449029
3181.3330023581975,0.328696,0.440907
3182.3259277646766,-0.070889,0.438911
3183.3188531711553,-0.0776795,0.436116
3184.3117785776344,0.186522,0.4374
3185.304703984113,-0.105379,0.427321
3186.2976293905917,0.219884,0.423252
3187.290554797071,0.377048,0.413459
3188.2834802035495,-0.120009,0.43042
3189.276405610028,-0.310712,0.434484
3190.2693310165073,-0.11874,0.431729
3191.262256422986,-0.0422718,0.406574
3192.255181829465,-0.184136,0.405662
3193.2481072359437,0.0516607,0.398641
3194.2410326424224,0.290259,0.390214
3195.2339580489015,-0.139439,0.37462
3196.22688345538,-0.0580459,0.369309
3197.2198088618593,-0.229053,0.351992
3198.212734268338,-0.116986,0.350445
3199.2056596748166,-0.349393,0.342557
3200.1985850812957,0.22566,0.332487
3201.1915104877744,-0.180901,0.332793
3202.1844358942535,-0.118561,0.332288
3203.177361300732,-0.238667,0.326987
3204.170286707211,-0.0936253,0.322955
3205.16321211369,-0.0783867,0.319642
3206.1561375201686,-0.0932747,0.316652
3207.1490629266473,-0.080913,0.31024
3208.1419883331264,0.185835,0.304991
3209.134913739605,0.224896,0.3035
3210.127839146084,-0.226902,0.29821
3211.120764552563,-0.0182482,0.297286
3212.1136899590415,0.110038,0.294968
3213.1066153655206,0.0804692,0.290115
3214.0995407719993,0.187202,0.285798
3215.0924661784784,0.0698852,0.27908
3216.085391584957,0.0172838,0.278043
3217.0783169914357,-0.158598,0.275419
3218.071242397915,0.183659,0.274637
3219.0641678043935,0.187388,0.271076
3220.057093210872,0.259171,0.268334
3221.0500186173513,0.0656313,0.265548
3222.04294402383,-0.11656,0.265441
3223.035869430309,0.0564677,0.261062
3224.0287948367877,-0.034809,0.257251
3225.0217202432664,0.0703684,0.25178
3226.0146456497455,-0.023154,0.248868
3227.007571056224,-0.193792,0.244573
3228.0004964627033,-0.168649,0.248601
3228.993421869182,-0.209485,0.244211
3229.9863472756606,0.113972,0.240795
3230.9792726821397,0.0859702,0.244669
3231.9721980886184,0.0905875,0.24845
3232.9651234950975,0.0470921,0.24522
3233.958048901576,0.102579,0.24525
3234.950974308055,0.00463293,0.247089
3235.943899714534,-0.144551,0.2369
3236.9368251210126,-0.0450703,0.226708
3237.9297505274913,-0.0148111,0.230278
3238.9226759339704,-0.2139,0.231329
3239.915601340449,0.218249,0.230427
3240.908526746928,0.0233584,0.226597
3241.901452153407,-0.00811363,0.218772
3242.8943775598855,-0.165347,0.212586
3243.8873029663646,-0.252504,0.203001
3244.8802283728432,-0.0118332,0.201326
3245.8731537793224,-0.108844,0.19518
3246.866079185801,0.218783,0.189048
3247.8590045922797,-0.058869,0.188385
3248.851929998759,-0.0912208,0.188585
3249.8448554052375,0.266364,0.186263
3250.8377808117166,0.0794607,0.183373
3251.8307062181952,0.0140664,0.184199
3252.823631624674,0.18334,0.184634
3253.816557031153,0.146759,0.182282
3254.8094824376317,0.24189,0.183893
3255.8024078441103,0.148481,0.180004
3256.7953332505895,0.0363311,0.179511
3257.788258657068,-0.13617,0.177868
3258.7811840635472,-0.0661796,0.178538
3259.774109470026,0.223103,0.177764
3260.7670348765046,0.16033,0.180071
3261.7599602829837,0.0548963,0.181316
3262.7528856894623,-0.051455,0.177716
3263.7458110959415,0.06968,0.17716
3264.73873650242,0.242449,0.171705
3265.731661908899,0.13825,0.171226
3266.724587315378,0.0542262,0.171166
3267.7175127218566,0.11053,0.171563
3268.710438128335,-0.0339685,0.169907
3269.7033635348143,-0.133762,0.170019
3270.696288941293,0.139638,0.166801
3271.689214347772,0.109419,0.168251
3272.682139754251,0.443535,0.166379
3273.6750651607294,0.0977523,0.161133
3274.6679905672086,0.138225,0.161754
3275.660915973687,0.156536,0.158605
3276.6538413801663,0.00798275,0.159007
3277.646766786645,-0.0718182,0.157962
3278.6396921931237,0.21255,0.15617
3279.632617599603,0.0555586,0.157103
3280.6255430060814,-0.0545026,0.158484
3281.6184684125606,0.0647064,0.155898
3282.611393819039,0.159535,0.152618
3283.604319225518,-0.0859576,0.151666
3284.597244631997,-0.155442,0.149982
3285.5901700384757,-0.137891,0.148838
3286.5830954449543,-0.0202529,0.148418
3287.5760208514334,-0.0146452,0.147842
3288.568946257912,-0.254987,0.14582
3289.561871664391,0.272204,0.145282
3290.55479707087,0.171536,0.144121
3291.5477224773485,0.290956,0.146176
3292.5406478838277,0.12027,0.144522
3293.5335732903063,0.0123092,0.140798
3294.5264986967854,0.0134973,0.139168
3295.519424103264,0.0516263,0.139825
3296.5123495097428,-0.10113,0.138662
3297.505274916222,0.0418112,0.135104
3298.4982003227005,0.243939,0.134124
3299.4911257291797,0.0664832,0.134455
3300.4840511356583,-0.0643318,0.134347
3301.476976542137,-0.0773901,0.136216
3302.469901948616,-0.249158,0.137824
3303.4628273550948,-0.0789855,0.137896
3304.4557527615734,0.231489,0.137893
3305.4486781680525,0.0500649,0.140309
3306.441603574531,0.00143719,0.14107
3307.4345289810103,0.239456,0.139879
3308.427454387489,-0.0225237,0.140905
3309.4203797939676,-0.0469476,0.140517
3310.4133052004468,-0.0991714,0.137407
3311.4062306069254,0.102908,0.138187
3312.3991560134045,-0.0809105,0.137239
3313.392081419883,-0.00246652,0.136326
3314.385006826362,0.0899365,0.132887
3315.377932232841,-0.0536238,0.129966
3316.3708576393196,0.0401513,0.125773
3317.3637830457983,0.136355,0.122618
3318.3567084522774,0.0361458,0.121156
3319.349633858756,-0.0524193,0.119794
3320.342559265235,0.00996207,0.118505
3321.335484671714,0.0266886,0.120927
3322.3284100781925,0.1202,0.120547
3323.3213354846716,0.320832,0.119141
3324.3142608911503,0.0391753,0.119079
3325.3071862976294,0.139853,0.118417
3326.300111704108,0.218769,0.117319
3327.2930371105867,0.0542209,0.115941
3328.285962517066,0.363631,0.117546
3329.2788879235445,0.113517,0.11926
3330.2718133300236,-0.0158458,0.120483
3331.2647387365023,0.3605,0.120674
3332.257664142981,0.256171,0.121223
3333.25058954946,0.221081,0.120944
3334.2435149559387,0.172964,0.121111
3335.2364403624174,0.116171,0.118078
3336.2293657688965,0.235787,0.117212
3337.222291175375,0.120603,0.118423
3338.2152165818543,0.182574,0.11875
3339.208141988333,0.2013,0.11928
3340.2010673948116,0.272745,0.117109
3341.1939928012907,0.137942,0.114623
3342.1869182077694,-0.0116941,0.11492
3343.1798436142485,0.127698,0.113509
3344.172769020727,0.264271,0.115257
3345.165694427206,-0.00415518,0.116072
3346.158619833685,-0.0379637,0.115025
3347.1515452401636,0.222133,0.112851
3348.1444706466427,0.321715,0.109495
3349.1373960531214,0.144237,0.106179
3350.1303214596,0.129973,0.105583
3351.123246866079,0.223899,0.105797
3352.116172272558,0.0834335,0.106554
3353.1090976790365,0.236979,0.107279
3354.1020230855156,0.144786,0.107085
3355.0949484919943,0.053642,0.10673
3356.0878738984734,0.0228702,0.108131
3357.080799304952,0.135499,0.10886
3358.0737247114307,0.282765,0.109936
3359.06665011791,0.088125,0.109722
3360.0595755243885,0.238282,0.109575
3361.0525009308676,0.251832,0.10583
3362.0454263373463,0.283903,0.105281
3363.038351743825,0.0775335,0.105722
3364.031277150304,0.322391,0.10758
3365.0242025567827,0.141986,0.109665
3366.0171279632614,0.121226,0.108471
3367.0100533697405,-0.0114109,0.109367
3368.002978776219,0.0968176,0.110805
3368.9959041826983,0.149074,0.109061
3369.988829589177,0.073447,0.106696
3370.9817549956556,0.235662,0.101491
3371.9746804021347,0.189652,0.0960823
3372.9676058086134,0.1012,0.0928318
3373.9605312150925,0.103325,0.0921268
3374.953456621571,0.221513,0.0942265
3375.94638202805,0.125453,0.0974999
