wl,flux,fluxerr
2893.6654773192176,1.74451e-16,nan
2894.6204348465817,1.93647e-16,nan
2895.5753923829175,1.63751e-16,nan
2896.5303499102815,1.69579e-16,nan
2897.4853074466178,1.88384e-16,nan
2898.4402649829535,1.7836e-16,nan
2899.3952225103176,1.80932e-16,nan
2900.3501800466533,1.85373e-16,nan
2901.305137574018,1.87553e-16,nan
2902.260095110353,1.80094e-16,nan
2903.2150526466894,1.70352e-16,nan
2904.1700101740535,1.68181e-16,nan
2905.1249677103892,1.81752e-16,nan
2906.0799252467255,2.02177e-16,nan
2907.034882774089,1.89929e-16,nan
2907.9898403104253,1.92507e-16,nan
2908.9447978377893,1.73239e-16,nan
2909.899755374125,1.94201e-16,nan
2910.854712910461,1.98877e-16,nan
2911.809670437825,1.70565e-16,nan
2912.764627974161,1.7272e-16,nan
2913.719585501525,1.66507e-16,nan
2914.674543037861,1.6715e-16,nan
2915.6295005741968,1.73331e-16,nan
2916.5844581015613,1.66777e-16,nan
2917.539415637897,1.6949e-16,nan
2918.4943731652606,1.73679e-16,nan
2919.449330701597,1.66665e-16,nan
2920.4042882379326,1.71816e-16,nan
2921.359245765297,1.78861e-16,nan
2922.314203301633,1.81688e-16,nan
2923.2691608379687,1.89629e-16,nan
2924.2241183653327,1.76927e-16,nan
2925.1790759016685,1.76143e-16,nan
2926.1340334290326,1.75878e-16,nan
2927.0889909653683,1.64798e-16,nan
2928.0439485017046,1.69729e-16,nan
2928.9989060290686,1.70686e-16,nan
2929.953863565405,1.64951e-16,nan
2930.9088210927684,1.82355e-16,nan
2931.8637786291047,1.8917e-16,nan
2932.8187361654404,1.84251e-16,nan
2933.7736936928045,1.86285e-16,nan
2934.7286512291403,1.78382e-16,nan
2935.683608765476,1.76567e-16,nan
2936.6385662928406,1.82052e-16,nan
2937.5935238291763,1.76158e-16,nan
2938.5484813565404,1.80442e-16,nan
2939.503438892876,1.85042e-16,nan
2940.4583964292124,1.70081e-16,nan
2941.4133539565764,1.70143e-16,nan
2942.368311492912,1.68192e-16,nan
2943.3232690202763,1.63155e-16,nan
2944.278226556612,1.76286e-16,nan
2945.2331840929482,1.7692e-16,nan
2946.188141620312,1.67642e-16,nan
2947.143099156648,1.77037e-16,nan
2948.098056684012,1.66403e-16,nan
2949.053014220348,1.60319e-16,nan
2950.007971756684,1.77186e-16,nan
2950.9629292840477,1.67802e-16,nan
2951.917886820384,1.74789e-16,nan
2952.8728443567197,1.66198e-16,nan
2953.8278018840842,1.66631e-16,nan
2954.7827594204196,1.77433e-16,nan
2955.7377169477836,1.73892e-16,nan
2956.69267448412,1.67125e-16,nan
2957.6476320204556,1.5945e-16,nan
2958.6025895478197,1.66932e-16,nan
2959.5575470841554,1.76594e-16,nan
2960.51250461152,1.73897e-16,nan
2961.4674621478557,1.68607e-16,nan
2962.422419684192,1.72104e-16,nan
2963.3773772115555,1.5917e-16,nan
2964.3323347478913,1.61516e-16,nan
2965.287292275256,1.66836e-16,nan
2966.2422498115916,1.6914e-16,nan
2967.1972073479274,1.62933e-16,nan
2968.1521648752914,1.54144e-16,nan
2969.1071224116276,1.53859e-16,nan
2970.0620799479634,1.54037e-16,nan
2971.0170374753275,1.50907e-16,nan
2971.9719950116632,1.60587e-16,nan
2972.9269525390273,1.66999e-16,nan
2973.8819100753635,1.62218e-16,nan
2974.836867611699,1.63416e-16,nan
2975.7918251390633,1.68182e-16,nan
2976.746782675399,1.62347e-16,nan
2977.701740202763,1.63865e-16,nan
2978.656697739099,1.66378e-16,nan
2979.6116552754347,1.68659e-16,nan
2980.566612802799,1.66768e-16,nan
2981.521570339135,1.64069e-16,nan
2982.476527875471,1.6852e-16,nan
2983.431485402835,1.65935e-16,nan
2984.386442939171,1.68741e-16,nan
2985.341400466535,1.66298e-16,nan
2986.296358002871,1.64544e-16,nan
2987.2513155392066,1.71063e-16,nan
2988.2062730665707,1.8176e-16,nan
2989.161230602907,1.80276e-16,nan
2990.116188130271,1.64817e-16,nan
2991.0711456666068,1.66723e-16,nan
2992.0261032029425,1.77938e-16,nan
2992.981060730307,1.80568e-16,nan
2993.936018266643,1.76674e-16,nan
2994.8909757940064,1.75416e-16,nan
2995.8459333303426,1.69416e-16,nan
2996.8008908666784,1.70178e-16,nan
2997.755848394043,1.82099e-16,nan
2998.7108059303782,1.73011e-16,nan
2999.6657634667145,1.76083e-16,nan
3000.6207209940785,1.7337e-16,nan
3001.5756785304143,1.73474e-16,nan
3002.5306360577783,1.75374e-16,nan
3003.485593594114,1.76635e-16,nan
3004.4405511304503,1.77978e-16,nan
3005.3955086578144,1.79945e-16,nan
3006.3504661941506,1.77999e-16,nan
3007.305423721514,1.76172e-16,nan
3008.2603812578504,1.7328e-16,nan
3009.215338794186,1.8389e-16,nan
3010.1702963215503,1.7399e-16,nan
3011.125253857886,1.67247e-16,nan
3012.08021138525,1.89657e-16,nan
3013.0351689215863,1.82428e-16,nan
3013.990126457922,1.70304e-16,nan
3014.945083985286,1.71184e-16,nan
3015.900041521622,1.81994e-16,nan
3016.8549990579577,1.90499e-16,nan
3017.809956585322,1.73242e-16,nan
3018.764914121658,1.59527e-16,nan
3019.719871649022,1.59814e-16,nan
3020.674829185358,1.66292e-16,nan
3021.629786721694,1.63819e-16,nan
3022.5847442490576,1.65201e-16,nan
3023.539701785394,1.67305e-16,nan
3024.494659312758,1.68365e-16,nan
3025.4496168490937,1.68702e-16,nan
3026.40457438543,1.61792e-16,nan
3027.3595319127935,1.66456e-16,nan
3028.3144894491297,1.62564e-16,nan
3029.2694469854655,1.66447e-16,nan
3030.22440451283,1.66594e-16,nan
3031.1793620491653,1.72768e-16,nan
3032.1343195765294,1.64865e-16,nan
3033.0892771128656,1.75014e-16,nan
3034.0442346492014,1.7605e-16,nan
3034.9991921765654,1.73706e-16,nan
3035.954149712901,1.66373e-16,nan
3036.9091072402657,1.67302e-16,nan
3037.8640647766015,1.71526e-16,nan
3038.8190223129372,1.74098e-16,nan
3039.7739798403013,1.79092e-16,nan
3040.728937376637,1.78874e-16,nan
3041.6838949040016,1.66656e-16,nan
3042.638852440337,1.69278e-16,nan
3043.593809976673,1.70571e-16,nan
3044.548767504037,1.7751e-16,nan
3045.5037250403734,1.78392e-16,nan
3046.458682576709,1.70783e-16,nan
3047.413640104073,1.71826e-16,nan
3048.368597640409,1.78905e-16,nan
3049.323555167773,1.76454e-16,nan
3050.2785127041093,1.69293e-16,nan
3051.2334702404446,1.74494e-16,nan
3052.188427767809,1.75294e-16,nan
3053.143385304145,1.79315e-16,nan
3054.098342831509,1.77398e-16,nan
3055.0533003678447,1.76202e-16,nan
3056.0082579041805,1.73243e-16,nan
3056.963215431545,1.74536e-16,nan
3057.9181729678808,1.69923e-16,nan
3058.873130495245,1.62591e-16,nan
3059.8280880315806,1.64653e-16,nan
3060.783045567917,1.71217e-16,nan
3061.738003095281,1.71003e-16,nan
3062.6929606316166,1.75481e-16,nan
3063.6479181679524,1.81515e-16,nan
3064.6028756953165,1.74792e-16,nan
3065.5578332316527,1.74784e-16,nan
3066.5127907590163,1.70234e-16,nan
3067.4677482953525,1.6006e-16,nan
3068.4227058316883,1.67922e-16,nan
3069.3776633590523,1.78659e-16,nan
3070.3326208953886,1.71463e-16,nan
3071.287578422752,1.81105e-16,nan
3072.2425359590884,1.65027e-16,nan
3073.197493495424,1.63574e-16,nan
3074.1524510227887,1.72413e-16,nan
3075.107408559124,1.64333e-16,nan
3076.06236609546,1.59204e-16,nan
3077.0173236228243,1.66146e-16,nan
3077.97228115916,1.68762e-16,nan
3078.927238686524,1.69417e-16,nan
3079.88219622286,1.67412e-16,nan
3080.837153759196,1.63427e-16,nan
3081.79211128656,1.57462e-16,nan
3082.7470688228964,1.66918e-16,nan
3083.70202635026,1.70158e-16,nan
3084.6569838865958,1.6029e-16,nan
3085.611941422932,1.60647e-16,nan
3086.566898950296,1.64806e-16,nan
3087.521856486632,1.63078e-16,nan
3088.476814013996,1.65108e-16,nan
3089.431771550332,1.63472e-16,nan
3090.386729086668,1.70644e-16,nan
3091.341686614032,1.69383e-16,nan
3092.2966441503677,1.62016e-16,nan
3093.2516016867035,1.60902e-16,nan
3094.206559214068,1.52547e-16,nan
3095.1615167504033,1.57448e-16,nan
3096.116474277768,1.5693e-16,nan
3097.0714318141036,1.57409e-16,nan
3098.02638935044,1.56224e-16,nan
3098.9813468778034,1.57542e-16,nan
3099.9363044141396,1.59044e-16,nan
3100.8912619415037,1.60366e-16,nan
3101.8462194778394,1.57857e-16,nan
3102.8011770141757,1.60832e-16,nan
3103.7561345415393,1.61024e-16,nan
3104.7110920778755,1.60914e-16,nan
3105.6660496052396,1.53803e-16,nan
