wl,flux,fluxerr
3191.818633872988,8.624768e-16,5.788101e-17
3195.720118959961,8.273445e-16,5.578979e-17
3199.621317165999,8.0809315e-16,5.547381e-17
3203.522706625993,8.3810014e-16,5.4418955e-17
3207.423904832031,7.8459137e-16,5.336678e-17
3211.325294292026,9.647897e-16,5.3225496e-17
3215.2264924980636,8.317859e-16,5.1867765e-17
3219.127881958058,9.799447e-16,5.1956386e-17
3223.029367045031,9.546973e-16,5.129041e-17
3226.93046962409,8.932796e-16,5.0262283e-17
3230.832050338041,9.398507e-16,4.9730664e-17
3234.7331529171006,9.140857e-16,4.8952304e-17
3238.634542377095,8.0269903e-16,4.6717285e-17
3242.5358362101115,8.5444274e-16,4.6527933e-17
3246.4371300431276,8.7415203e-16,4.5327847e-17
3250.3386151301,9.333528e-16,4.5509042e-17
3254.239813336138,9.021602e-16,4.515707e-17
3258.141202796133,9.315373e-16,4.4527864e-17
3262.0424010021707,9.046705e-16,4.3795974e-17
3265.943790462165,8.8186765e-16,4.2470768e-17
3269.844988668203,8.4708096e-16,4.104094e-17
3273.746378128197,9.282728e-16,4.0205488e-17
3277.64786321517,8.432188e-16,3.9145522e-17
3281.549061421208,9.190323e-16,3.9959878e-17
3285.450355254224,8.2614194e-16,3.9655174e-17
3289.3516490872407,7.7160906e-16,3.8388288e-17
3293.253038547235,8.007952e-16,3.8077413e-17
3297.1541411262942,8.581724e-16,3.7576248e-17
3301.0557218402455,8.2087313e-16,3.7319928e-17
3304.95711130024,8.640974e-16,3.710053e-17
3308.8583095062777,8.695733e-16,3.6182306e-17
3312.759698966272,8.58926e-16,3.5986936e-17
3316.66089717231,8.4083886e-16,3.554318e-17
3320.5622866323047,7.7235233e-16,3.4744448e-17
3324.4634848383425,9.304813e-16,3.464015e-17
3328.364874298337,9.110759e-16,3.4678958e-17
3332.2660725043747,8.8145944e-16,3.468365e-17
3336.1675575913478,9.131285e-16,3.4643773e-17
3340.068947051342,7.9072373e-16,3.3714532e-17
3343.970240884358,8.4781486e-16,3.336744e-17
3347.8715347173743,7.8823737e-16,3.2659724e-17
3351.772732923412,8.8694985e-16,3.245021e-17
3355.6742180103847,8.4485994e-16,3.1784475e-17
3359.575320589445,8.249739e-16,3.1375917e-17
3363.476805676417,7.4883494e-16,3.089729e-17
3367.3781951364117,8.332505e-16,3.168751e-17
3371.2793933424496,8.1557054e-16,3.1510896e-17
