wl,flux,fluxerr
3674.61,2.1349032e-16,nan
3679.59,1.9970845000000003e-16,nan
3684.58,2.0898221000000002e-16,nan
3689.57,2.0362621e-16,nan
3694.57,1.8619668e-16,nan
3699.57,2.2202767000000003e-16,nan
3704.58,1.8616948000000002e-16,nan
3709.6,2.1874220000000003e-16,nan
3714.63,1.9658277000000003e-16,nan
3719.66,2.4196016e-16,nan
3724.7,2.7190823000000004e-16,nan
3729.74,2.0743136000000003e-16,nan
3734.8,2.0013987e-16,nan
3739.86,2.1462708e-16,nan
3744.92,1.7608721000000003e-16,nan
3750.0,1.8742767000000002e-16,nan
3755.08,2.1713578e-16,nan
3760.16,1.8318628e-16,nan
3765.26,1.8165090000000001e-16,nan
3770.36,1.7311235000000001e-16,nan
3775.47,1.7535029000000003e-16,nan
3780.58,1.7498372e-16,nan
3785.7,1.5907432000000003e-16,nan
3790.83,1.6182547e-16,nan
3795.97,1.4980896e-16,nan
3801.11,1.7855829000000002e-16,nan
3806.26,2.3736314e-16,nan
3811.42,2.6398427e-16,nan
3816.58,2.0077029000000003e-16,nan
3821.75,2.4348527e-16,nan
3826.93,1.7878066000000002e-16,nan
3832.11,1.7148048000000001e-16,nan
3837.3,2.5322174000000003e-16,nan
3842.5,2.0636917000000002e-16,nan
3847.71,1.9918315000000001e-16,nan
3852.92,2.0367864e-16,nan
3858.14,1.9448997e-16,nan
3863.37,2.1999049e-16,nan
3868.6,2.5569551e-16,nan
3873.84,2.4206718e-16,nan
3879.09,2.3497365000000003e-16,nan
3884.34,2.2904463e-16,nan
3889.61,2.0129267000000003e-16,nan
3894.87,2.4321524e-16,nan
3900.15,2.4009180000000004e-16,nan
3905.43,2.6726138000000003e-16,nan
3910.73,3.0092454000000004e-16,nan
3916.02,2.4657827e-16,nan
3921.33,2.2374577e-16,nan
3926.64,2.4158519000000002e-16,nan
3931.96,2.6165301e-16,nan
3937.29,2.7307712e-16,nan
3942.62,2.4664797000000004e-16,nan
3947.96,3.1831270000000005e-16,nan
3953.31,3.2049879e-16,nan
3958.67,2.9860407e-16,nan
3964.03,3.2128262000000004e-16,nan
3969.4,3.40934e-16,nan
3974.78,3.5863551e-16,nan
3980.16,3.2000782000000004e-16,nan
3985.55,3.1608012000000003e-16,nan
3990.95,4.0484295000000005e-16,nan
3996.36,3.825191e-16,nan
4001.77,3.6802357e-16,nan
4007.19,3.4948560000000004e-16,nan
4012.62,3.5848284000000004e-16,nan
4018.06,3.7050953e-16,nan
4023.5,3.4173963000000002e-16,nan
4028.95,3.5478051000000002e-16,nan
4034.41,4.0181127000000003e-16,nan
4039.88,4.0415518e-16,nan
4045.35,3.9949679e-16,nan
4050.83,4.0688454000000004e-16,nan
4056.32,3.2755658e-16,nan
4061.81,3.3840441000000003e-16,nan
4067.32,3.3688264000000003e-16,nan
4072.83,3.3671086000000004e-16,nan
4078.34,3.8865892000000004e-16,nan
4083.87,3.6804498000000005e-16,nan
4089.4,3.7614988000000003e-16,nan
4094.94,3.592875e-16,nan
4100.49,3.5321008e-16,nan
4106.04,3.4242670000000003e-16,nan
4111.61,3.508314e-16,nan
4117.18,3.4278462000000003e-16,nan
4122.75,3.0563065000000003e-16,nan
4128.34,3.6035670000000005e-16,nan
4133.93,3.7316302000000003e-16,nan
4139.53,3.5271230000000005e-16,nan
4145.14,3.2155344000000004e-16,nan
4150.75,3.2843689000000004e-16,nan
4156.38,3.1874020000000004e-16,nan
4162.01,3.3029433000000005e-16,nan
4167.65,3.1774689e-16,nan
4173.29,3.3548931000000003e-16,nan
4178.95,3.4441906e-16,nan
4184.61,3.5613767000000003e-16,nan
4190.28,3.6003807000000003e-16,nan
4195.95,3.6666933e-16,nan
4201.64,3.9251090000000003e-16,nan
4207.33,3.7236338000000003e-16,nan
4213.03,3.6706900000000005e-16,nan
4218.74,4.0767951000000004e-16,nan
4224.45,3.7448160000000003e-16,nan
4230.18,4.0726635000000003e-16,nan
4235.91,4.0912985000000003e-16,nan
4241.64,3.4573607000000004e-16,nan
4247.39,4.211784e-16,nan
4253.15,4.6607585e-16,nan
4258.91,4.2229884000000004e-16,nan
4264.68,4.4651558e-16,nan
4270.45,4.3089086000000003e-16,nan
4276.24,4.2581493000000006e-16,nan
4282.03,4.926672100000001e-16,nan
4287.83,4.794273900000001e-16,nan
4293.64,4.406117e-16,nan
4299.46,4.6489337e-16,nan
4305.28,4.955673000000001e-16,nan
4311.12,4.9801578e-16,nan
4316.96,4.7422075e-16,nan
4322.8,5.0443908e-16,nan
4328.66,5.163835200000001e-16,nan
4334.52,4.8721787e-16,nan
4340.4,4.8688952e-16,nan
4346.28,4.713089200000001e-16,nan
4352.16,4.6123763e-16,nan
4358.06,4.7934006e-16,nan
4363.96,5.0660789e-16,nan
4369.88,4.920603400000001e-16,nan
4375.8,4.717103500000001e-16,nan
4381.72,4.8458959e-16,nan
4387.66,5.290121900000001e-16,nan
4393.6,5.535019300000001e-16,nan
4399.56,4.9000255e-16,nan
4405.52,4.784143e-16,nan
4411.48,4.9448697e-16,nan
4417.46,5.2921302e-16,nan
4423.45,5.462821300000001e-16,nan
4429.44,5.3820079e-16,nan
4435.44,5.611822300000001e-16,nan
4441.45,5.194041300000001e-16,nan
4447.46,5.251620000000001e-16,nan
4453.49,5.116273300000001e-16,nan
4459.52,5.5321085e-16,nan
4465.56,5.407844900000001e-16,nan
4471.61,5.058459900000001e-16,nan
4477.67,5.0500501e-16,nan
4483.74,5.374204500000001e-16,nan
4489.81,4.7901528e-16,nan
4495.89,4.914607600000001e-16,nan
4501.98,5.681099700000001e-16,nan
4508.08,6.9241599000000005e-16,nan
4514.19,8.0713992000000005e-16,nan
4520.31,8.876603200000001e-16,nan
4526.43,9.7350024e-16,nan
4532.56,1.1448376e-15,nan
4538.7,1.3015641e-15,nan
4544.85,1.3033576e-15,nan
4551.01,1.3347302e-15,nan
4557.17,1.354657e-15,nan
4563.35,1.3637535e-15,nan
4569.53,1.3683727e-15,nan
4575.72,1.3899799e-15,nan
4581.92,1.3087858e-15,nan
4588.13,1.2213115e-15,nan
4594.34,1.1635924e-15,nan
4600.57,9.7272821e-16,nan
4606.8,8.2017287e-16,nan
4613.04,8.074530100000001e-16,nan
4619.29,7.460542000000001e-16,nan
4625.55,7.721477100000001e-16,nan
4631.81,7.444821e-16,nan
4638.09,6.825434800000001e-16,nan
4644.37,6.524012600000001e-16,nan
4650.66,6.381317200000001e-16,nan
4656.96,6.230406000000001e-16,nan
4663.27,6.376731400000001e-16,nan
4669.59,6.362295800000001e-16,nan
4675.92,5.8235903e-16,nan
4682.25,5.793157e-16,nan
4688.59,6.466850500000001e-16,nan
4694.94,6.434732200000001e-16,nan
4701.3,5.7268628e-16,nan
4707.67,5.867881600000001e-16,nan
4714.05,6.276171000000001e-16,nan
4720.44,5.814179400000001e-16,nan
4726.83,5.583919e-16,nan
4733.24,5.483607900000001e-16,nan
4739.65,5.6571583e-16,nan
4746.07,6.1395328e-16,nan
4752.5,5.9651379e-16,nan
4758.94,6.070865700000001e-16,nan
4765.38,6.146974200000001e-16,nan
4771.84,5.8069452e-16,nan
4778.3,5.760614700000001e-16,nan
4784.78,5.2074505e-16,nan
4791.26,5.5672417e-16,nan
4797.75,5.2288439e-16,nan
4804.25,5.1253692e-16,nan
4810.76,5.3472819e-16,nan
4817.28,5.412494400000001e-16,nan
4823.8,5.096814400000001e-16,nan
4830.34,4.824401700000001e-16,nan
4836.88,4.973256e-16,nan
4843.43,5.4842608e-16,nan
4849.99,5.4208228e-16,nan
4856.56,6.316243e-16,nan
4863.14,6.1738362e-16,nan
4869.73,5.859084800000001e-16,nan
4876.33,5.8626648e-16,nan
4882.94,5.968880200000001e-16,nan
4889.55,6.738337100000001e-16,nan
4896.17,6.410408500000001e-16,nan
4902.81,6.390385800000001e-16,nan
4909.45,6.227667100000001e-16,nan
4916.1,6.4916631e-16,nan
4922.76,5.836956400000001e-16,nan
4929.43,5.656492300000001e-16,nan
4936.11,5.189040500000001e-16,nan
4942.79,5.485195300000001e-16,nan
4949.49,6.3044782e-16,nan
4956.2,6.0773923e-16,nan
4962.91,5.5742322e-16,nan
4969.63,5.521890000000001e-16,nan
4976.37,6.073084200000001e-16,nan
4983.11,6.1365816e-16,nan
4989.86,6.017087400000001e-16,nan
4996.62,5.651678800000001e-16,nan
5003.39,6.3037818e-16,nan
5010.17,7.492150800000001e-16,nan
