wl,flux,fluxerr
3668.47,1.45518498919804e-24,nan
3670.905,2.49950913085162e-24,nan
3673.34,3.54383337111282e-24,nan
3675.775,6.0169201975897504e-24,nan
3678.21,8.49589942059822e-24,nan
3680.645,1.42420490289276e-23,nan
3683.08,2.0001672381518202e-23,nan
3685.515,3.31483265123959e-23,nan
3687.95,4.63561552287516e-23,nan
3690.385,7.586660234506651e-23,nan
3692.82,1.05512058272145e-22,nan
3695.255,1.70601760422835e-22,nan
3697.69,2.36133609644572e-22,nan
3700.125,3.77527927580232e-22,nan
3702.56,5.201892697256459e-22,nan
3704.995,8.215152533454459e-22,nan
3707.43,1.12549120376161e-21,nan
3709.865,1.7564778430264002e-21,nan
3712.3,2.39432012531966e-21,nan
3714.735,3.69557680890662e-21,nan
3717.17,5.01359339147219e-21,nan
3719.605,7.6457216825007e-21,nan
3722.04,1.0311048673543601e-20,nan
3724.475,1.55537145491433e-20,nan
3726.91,2.0872663602444e-20,nan
3729.345,3.1114553837547e-20,nan
3731.78,4.15021522606687e-20,nan
3734.215,6.116243888816121e-20,nan
3736.65,8.11377133079746e-20,nan
3739.085,1.1830016588246e-19,nan
3741.52,1.5612226268371502e-19,nan
3743.955,2.25008532853332e-19,nan
3746.39,2.9508704170427803e-19,nan
3748.825,4.20807482970433e-19,nan
3751.26,5.48910902334383e-19,nan
3753.695,7.73896377528141e-19,nan
3756.13,1.0030309389756799e-18,nan
3758.565,1.3986187965933199e-18,nan
3761.0,1.80208182723277e-18,nan
3763.435,2.48693236691594e-18,nan
3765.87,3.18636878913541e-18,nan
3768.305,4.34861917472805e-18,nan
3770.74,5.53485986603626e-18,nan
3773.175,7.472807556446929e-18,nan
3775.61,9.453151561973401e-18,nan
3778.045,1.26339836176787e-17,nan
3780.48,1.58880484545551e-17,nan
3782.915,2.44668643187957e-17,nan
3785.35,3.3370500774696e-17,nan
3787.785,5.92825852812423e-17,nan
3790.22,8.63111948698902e-17,nan
3792.655,1.13287824428845e-16,nan
3795.09,1.40261032768787e-16,nan
3797.525,1.67232983794197e-16,nan
3799.96,1.94204855410269e-16,nan
3802.395,2.21229534236646e-16,nan
3804.83,2.4825818352996298e-16,nan
3807.265,2.75235282927506e-16,nan
3809.7,3.02208491267448e-16,nan
3812.135,3.29181699607389e-16,nan
3814.57,3.56154907947331e-16,nan
3817.005,3.83179202961904e-16,nan
3819.44,4.10207786080772e-16,nan
3821.875,4.37185335464568e-16,nan
3824.31,4.6415854380451e-16,nan
3826.745,4.91182600591066e-16,nan
3829.18,5.18211210179714e-16,nan
3831.615,5.45188944851968e-16,nan
3834.05,5.72162179661689e-16,nan
3836.485,5.99134196861548e-16,nan
3838.92,6.26106108182289e-16,nan
3841.355,6.53129582633695e-16,nan
3843.79,6.80158192222343e-16,nan
3846.225,7.07136403350629e-16,nan
3848.66,7.3410963816035e-16,nan
3851.095,7.61133006732637e-16,nan
3853.53,7.88161616321285e-16,nan
3855.965,8.15140039207808e-16,nan
3858.4,8.42113274017529e-16,nan
3860.835,8.690865088272501e-16,nan
3863.27,8.96059743636971e-16,nan
3865.705,9.23082635753225e-16,nan
3868.14,9.50111245341873e-16,nan
3870.575,9.77089879986633e-16,nan
3873.01,1.0040629030381201e-15,nan
3875.445,1.0310351849357701e-15,nan
3877.88,1.0580072550751902e-15,nan
3880.315,1.08502951191674e-15,nan
3882.75,1.11205801562626e-15,nan
3885.185,1.1390372855457302e-15,nan
3887.62,1.16601041447634e-15,nan
3890.055,1.1930329889552401e-15,nan
3892.49,1.2200619161812401e-15,nan
3894.925,1.24704150373807e-15,nan
3897.36,1.27401463266867e-15,nan
3899.795,1.30098776159927e-15,nan
3902.23,1.32796078465075e-15,nan
3904.665,1.3549825120967102e-15,nan
3907.1,1.38201101580624e-15,nan
3909.535,1.4089913445168901e-15,nan
3911.97,1.43596500284309e-15,nan
3914.405,1.4629368612242702e-15,nan
3916.84,1.48990850784721e-15,nan
3919.275,1.5169294941393301e-15,nan
3921.71,1.54395799784886e-15,nan
3924.145,1.5709384324386402e-15,nan
3926.58,1.5979114554901202e-15,nan
3929.015,1.6249329711778401e-15,nan
3931.45,1.6519618984038401e-15,nan
3933.885,1.6789426506309701e-15,nan
3936.32,1.7059157795615701e-15,nan
3938.755,1.7328888026130501e-15,nan
3941.19,1.7598619315436602e-15,nan
3943.625,1.78688249431931e-15,nan
3946.06,1.81391110390795e-15,nan
3948.495,1.84089122086037e-15,nan
3950.93,1.8678632909997902e-15,nan
3953.365,1.8948834302589703e-15,nan
3955.8,1.9219120398476103e-15,nan
3958.235,1.9488932155912203e-15,nan
3960.67,1.9758663445218203e-15,nan
3963.105,2.0028398969688904e-15,nan
3965.54,2.0298136611742103e-15,nan
3967.975,2.05683358867515e-15,nan
3970.41,2.0838619865055603e-15,nan
3972.845,2.11084379752387e-15,nan
3975.28,2.13781692645447e-15,nan
3977.715,2.16479005538507e-15,nan
3980.15,2.1917631843156803e-15,nan
3982.585,2.3657537043188403e-15,nan
3985.02,2.5686422356252404e-15,nan
3987.455,2.6058316406909204e-15,nan
3989.89,2.610451146627e-15,nan
3992.325,2.4972900859726702e-15,nan
3994.76,2.3602820832378202e-15,nan
3997.195,2.857355321521e-15,nan
3999.63,3.4828105907624504e-15,nan
4002.065,2.750512067862e-15,nan
4004.5,1.7352079788226401e-15,nan
4006.935,1.63722310160514e-15,nan
4009.37,1.7359700967169302e-15,nan
4011.805,1.7500586898494902e-15,nan
4014.24,1.7459910258785402e-15,nan
4016.675,2.3588167162390703e-15,nan
4019.11,3.10769887369733e-15,nan
