wl,flux,fluxerr
3251.35965949397,0.666871,nan
3253.330180499724,0.664701,nan
3255.3007015054777,0.760722,nan
3257.271222511232,0.743542,nan
3259.2417435169855,0.650058,nan
3261.2122645227396,0.615092,nan
3263.1827855284932,0.56128,nan
3265.1533065342473,0.379995,nan
3267.1238275400015,0.778651,nan
3269.094348545755,0.572313,nan
3271.064869551509,0.760557,nan
3273.035390557263,0.534697,nan
3275.005911563017,0.591123,nan
3276.976432568771,0.728573,nan
3278.9469535745247,0.66172,nan
3280.917474580279,0.620405,nan
3282.8879955860325,0.665752,nan
3284.8585165917866,0.789529,nan
3286.8290375975407,0.646326,nan
3288.7995586032944,0.751325,nan
3290.7700796090485,0.723941,nan
3292.740600614802,0.747551,nan
3294.7111216205562,0.606238,nan
3296.6816426263103,0.749644,nan
3298.652163632064,0.856251,nan
3300.622684637818,0.818084,nan
3302.5932056435718,0.733109,nan
3304.563726649326,0.731911,nan
3306.5342476550795,0.611568,nan
3308.5047686608336,0.795518,nan
3310.4752896665877,0.887349,nan
3312.4458106723414,0.833063,nan
3314.4163316780955,0.70928,nan
3316.386852683849,0.905457,nan
3318.3573736896033,0.843121,nan
3320.3278946953574,0.381792,nan
3322.298415701111,0.773202,nan
3324.268936706865,0.865193,nan
3326.239457712619,0.799973,nan
3328.209978718373,0.7836,nan
3330.180499724127,0.854422,nan
3332.1510207298807,0.975033,nan
3334.1215417356348,1.04975,nan
3336.0920627413884,0.854482,nan
3338.0625837471425,0.832564,nan
3340.033104752896,0.88321,nan
3342.0036257586503,0.891466,nan
3343.9741467644044,1.05032,nan
3345.944667770158,0.968894,nan
3347.915188775912,0.951605,nan
3349.885709781666,0.944168,nan
3351.85623078742,0.892292,nan
3353.826751793174,0.942619,nan
3355.7972727989277,1.05027,nan
3357.767793804682,1.06713,nan
3359.7383148104354,1.03527,nan
3361.7088358161895,1.06078,nan
3363.6793568219437,1.01643,nan
3365.6498778276973,1.07178,nan
3367.6203988334514,1.09031,nan
3369.590919839205,1.18705,nan
3371.561440844959,1.15197,nan
3373.531961850713,1.03587,nan
3375.502482856467,1.03295,nan
3377.473003862221,0.979695,nan
3379.4435248679747,1.12507,nan
3381.414045873729,1.08713,nan
3383.3845668794825,1.09829,nan
3385.3550878852366,1.08198,nan
3387.3256088909907,1.02395,nan
3389.2961298967443,1.01846,nan
3391.2666509024984,1.05255,nan
3393.237171908252,0.992552,nan
3395.207692914006,1.06295,nan
3397.1782139197603,1.21885,nan
3399.148734925514,1.10281,nan
3401.119255931268,1.0917,nan
3403.0897769370217,1.27714,nan
3405.060297942776,1.13025,nan
3407.0308189485295,1.02386,nan
3409.0013399542836,0.997386,nan
3410.9718609600377,1.08052,nan
3412.9423819657914,1.23521,nan
3414.9129029715455,1.16887,nan
3416.883423977299,1.02674,nan
3418.853944983053,0.983775,nan
3420.8244659888073,1.04709,nan
3422.794986994561,1.05584,nan
