wl,flux,fluxerr
3473.6774878556002,9.30796,nan
3475.174332507075,11.7086,nan
3476.6711771585497,10.8504,nan
3478.1680218100246,10.5928,nan
3479.664866461499,6.11354,nan
3481.161711112974,3.23418,nan
3482.6585557644485,5.90812,nan
3484.1554004159234,8.06072,nan
3485.652245067398,13.443,nan
3487.149089718873,14.5055,nan
3488.6459343703473,11.0485,nan
3490.142779021822,8.84247,nan
3491.6396236732967,8.07375,nan
3493.1364683247716,11.4316,nan
3494.633312976246,11.9022,nan
3496.1301576277206,14.1489,nan
3497.6270022791955,9.44862,nan
3499.12384693067,14.6305,nan
3500.620691582145,15.7098,nan
3502.1175362336194,17.3573,nan
3503.6143808850943,7.70704,nan
3505.111225536569,17.2257,nan
3506.6080701880437,14.9354,nan
3508.104914839518,14.5397,nan
3509.601759490993,12.0586,nan
3511.0986041424676,11.9608,nan
3512.5954487939425,13.1738,nan
3514.092293445417,15.02,nan
3515.589138096892,14.6722,nan
3517.0859827483664,15.41,nan
3518.5828273998413,17.0072,nan
3520.079672051316,18.4959,nan
3521.5765167027907,15.2483,nan
3523.073361354265,14.0933,nan
3524.5702060057397,17.0766,nan
3526.0670506572146,16.6332,nan
3527.563895308689,11.8835,nan
3529.060739960164,14.4467,nan
3530.5575846116385,16.9749,nan
3532.0544292631134,16.3127,nan
3533.551273914588,19.8252,nan
3535.048118566063,18.7006,nan
3536.5449632175373,14.9453,nan
3538.0418078690122,14.7488,nan
3539.5386525204867,18.2656,nan
3541.0354971719617,20.8153,nan
3542.532341823436,20.1566,nan
3544.029186474911,18.5756,nan
3545.5260311263855,16.4788,nan
3547.0228757778605,16.5005,nan
3548.519720429335,17.0264,nan
3550.01656508081,18.0157,nan
3551.5134097322843,17.5709,nan
3553.010254383759,18.352,nan
3554.5070990352338,19.0844,nan
3556.003943686708,19.5551,nan
3557.500788338183,19.8153,nan
3558.9976329896576,22.454,nan
3560.4944776411326,21.8433,nan
3561.991322292607,18.4039,nan
3563.488166944082,19.4212,nan
3564.9850115955564,22.8251,nan
3566.4818562470314,19.9904,nan
3567.978700898506,18.5905,nan
3569.475545549981,22.4152,nan
3570.9723902014553,19.8911,nan
3572.46923485293,19.8281,nan
3573.9660795044047,20.5987,nan
3575.4629241558796,18.8381,nan
3576.959768807354,21.4496,nan
3578.456613458829,24.2439,nan
3579.9534581103035,21.5589,nan
3581.4503027617784,19.1545,nan
3582.947147413253,20.4208,nan
3584.4439920647274,18.7659,nan
3585.9408367162023,22.8982,nan
3587.4376813676768,21.9631,nan
3588.9345260191517,20.6742,nan
3590.431370670626,21.1581,nan
3591.928215322101,19.8973,nan
3593.4250599735756,21.35,nan
