wl,flux,fluxerr
3485.0,0.54960448,nan
3486.47,0.52822119,nan
3487.94,0.4097245,nan
3489.41,0.43560237,nan
3490.88,0.42144257,nan
3492.35,0.42015296,nan
3493.82,0.47465047,nan
3495.29,0.79341125,nan
3496.76,0.91005427,nan
3498.23,0.72536004,nan
3499.7,0.62350607,nan
3501.17,0.45595342,nan
3502.64,0.52291918,nan
3504.11,0.67511535,nan
3505.58,0.63302898,nan
3507.05,0.62483418,nan
3508.52,0.49738455,nan
3509.99,0.62907183,nan
3511.46,0.59142768,nan
3512.93,0.4778375,nan
3514.4,0.58654338,nan
3515.87,0.64544815,nan
3517.34,0.66717517,nan
3518.81,0.56310624,nan
3520.28,0.46908373,nan
3521.75,0.66750968,nan
3523.22,0.65552002,nan
3524.69,0.60729206,nan
3526.16,0.68125325,nan
3527.63,0.61341465,nan
3529.1,0.53072393,nan
3530.57,0.45576552,nan
3532.04,0.61660969,nan
3533.51,0.63974088,nan
3534.98,0.54468888,nan
3536.45,0.62040466,nan
3537.92,0.53864539,nan
3539.39,0.51186025,nan
3540.86,0.63608789,nan
3542.33,0.68069333,nan
3543.8,0.59016961,nan
3545.27,0.75943428,nan
3546.74,0.85707891,nan
3548.21,0.76945966,nan
3549.68,0.58933473,nan
3551.15,0.47369018,nan
3552.62,0.57974195,nan
3554.09,0.67459482,nan
3555.56,0.77345461,nan
3557.03,0.63585711,nan
3558.5,0.56427443,nan
3559.97,0.54621375,nan
3561.44,0.77773917,nan
3562.91,0.64769852,nan
3564.38,0.69291776,nan
3565.85,0.68308586,nan
3567.32,0.64543468,nan
3568.79,0.67462236,nan
3570.26,0.62762213,nan
3571.73,0.46166974,nan
3573.2,0.48232493,nan
3574.67,0.57484788,nan
3576.14,0.56360173,nan
3577.61,0.50817001,nan
3579.08,0.44353199,nan
3580.55,0.57964879,nan
3582.02,0.7169956,nan
3583.49,0.64751446,nan
3584.96,0.71393764,nan
3586.43,0.75966555,nan
3587.9,0.65783709,nan
3589.37,0.6430378,nan
3590.84,0.58565342,nan
3592.31,0.64824259,nan
3593.78,0.74490637,nan
3595.25,0.72124648,nan
3596.72,0.73177093,nan
3598.19,0.72899693,nan
3599.66,0.6667943,nan
3601.13,0.63392538,nan
3602.6,0.68028402,nan
3604.07,0.614173,nan
3605.54,0.6321609,nan
3607.01,0.63065112,nan
3608.48,0.70439237,nan
3609.95,0.81396151,nan
3611.42,0.81892306,nan
3612.89,0.76425791,nan
3614.36,0.70959967,nan
3615.83,0.8114832,nan
3617.3,0.81623423,nan
3618.77,0.75341243,nan
3620.24,0.82914692,nan
3621.71,0.85245025,nan
3623.18,0.82271171,nan
3624.65,0.69842422,nan
3626.12,0.73057824,nan
3627.59,0.59282774,nan
3629.06,0.52066684,nan
3630.53,0.72442073,nan
3632.0,0.75168276,nan
3633.47,0.71108115,nan
3634.94,0.75533015,nan
3636.41,0.79122651,nan
3637.88,0.69665778,nan
3639.35,0.57984072,nan
3640.82,0.57698035,nan
3642.29,0.60493433,nan
3643.76,0.74596459,nan
3645.23,0.70176208,nan
3646.7,0.67535472,nan
3648.17,0.53380275,nan
3649.64,0.59763563,nan
3651.11,0.81080586,nan
3652.58,0.79091799,nan
3654.05,0.69512188,nan
3655.52,0.78131598,nan
3656.99,0.67500895,nan
3658.46,0.57184488,nan
3659.93,0.68349916,nan
3661.4,0.64967972,nan
3662.87,0.63588327,nan
3664.34,0.71448541,nan
3665.81,0.74284375,nan
3667.28,0.82675993,nan
3668.75,0.83496177,nan
3670.22,0.78214747,nan
3671.69,0.84805942,nan
3673.16,0.82341951,nan
3674.63,0.78781879,nan
3676.1,0.86008817,nan
3677.57,0.81235778,nan
3679.04,0.82926351,nan
3680.51,1.0159767,nan
3681.98,0.95955348,nan
3683.45,0.85765707,nan
3684.92,1.0393324,nan
3686.39,1.0607018,nan
3687.86,1.0552685,nan
3689.33,1.0692769,nan
3690.8,0.97285765,nan
3692.27,1.017419,nan
3693.74,1.0891473,nan
3695.21,0.99777091,nan
3696.68,0.96281469,nan
3698.15,1.0330377,nan
3699.62,1.0985435,nan
3701.09,1.0597495,nan
3702.56,0.98475152,nan
3704.03,0.93633044,nan
3705.5,0.97099465,nan
3706.97,0.98459774,nan
3708.44,1.1685816,nan
3709.91,1.2300973,nan
3711.38,1.1618762,nan
3712.85,1.1586378,nan
3714.32,1.1832751,nan
3715.79,1.235921,nan
3717.26,1.1706202,nan
3718.73,1.0094521,nan
3720.2,1.2125508,nan
3721.67,1.1963736,nan
3723.14,1.0527531,nan
3724.61,1.1623248,nan
3726.08,1.0436133,nan
3727.55,1.0597614,nan
3729.02,1.0893022,nan
3730.49,0.94318837,nan
3731.96,0.88251382,nan
3733.43,0.86661834,nan
3734.9,0.93784523,nan
3736.37,0.9636845,nan
3737.84,0.87804872,nan
3739.31,0.88578308,nan
3740.78,0.98036128,nan
3742.25,0.93979245,nan
3743.72,0.87992895,nan
3745.19,0.8376832,nan
3746.66,0.84668636,nan
3748.13,0.89470202,nan
3749.6,0.8983916,nan
3751.07,0.82837576,nan
3752.54,0.82794529,nan
3754.01,0.8840903,nan
3755.48,0.7551077,nan
3756.95,0.69049335,nan
3758.42,0.75067741,nan
3759.89,0.73540878,nan
3761.36,0.72344667,nan
3762.83,0.74464393,nan
3764.3,0.75611383,nan
3765.77,0.71480286,nan
3767.24,0.59340638,nan
3768.71,0.56361061,nan
3770.18,0.60996324,nan
3771.65,0.58232552,nan
3773.12,0.6424641,nan
3774.59,0.7100805,nan
3776.06,0.6387316,nan
3777.53,0.59693331,nan
3779.0,0.60025406,nan
3780.47,0.5202741,nan
3781.94,0.40415546,nan
3783.41,0.37713438,nan
3784.88,0.47350901,nan
3786.35,0.43197432,nan
3787.82,0.38057482,nan
3789.29,0.36761808,nan
3790.76,0.36349234,nan
3792.23,0.38798276,nan
3793.7,0.37973395,nan
3795.17,0.39048705,nan
3796.64,0.42878357,nan
3798.11,0.43777388,nan
3799.58,0.36145392,nan
