wl,flux,fluxerr
3626.5759443339957,2.5229669e-17,4.302225e-18
3632.0675944334,1.435315e-17,4.137942e-18
3637.559145129225,1.8763098e-17,4.108821e-18
3643.050894632207,1.7715375e-17,3.9450952e-18
3648.54254473161,2.4905508e-17,3.9228838e-18
3654.034294234593,1.6316063e-17,3.787512e-18
3659.5260437375746,2.1973795e-17,3.8636618e-18
3665.017693836978,2.4502986e-17,3.8947187e-18
3670.50944333996,2.6723818e-17,3.8972027e-18
3676.001093439364,2.7432744e-17,3.8247198e-18
3681.4928429423458,2.2600793e-17,3.705206e-18
3686.98449304175,2.5600939e-17,3.7262365e-18
3692.476043737575,2.7397158e-17,3.7846e-18
3697.967693836978,3.2069763e-17,3.8946604e-18
3703.45944333996,3.318825e-17,3.8564786e-18
3708.951093439364,3.748914e-17,3.8430853e-18
3714.442842942346,3.0060756e-17,3.6778448e-18
3719.934592445328,3.758362e-17,3.650264e-18
3725.426242544732,3.933343e-17,3.5686524e-18
3730.9179920477136,3.328017e-17,3.415437e-18
3736.4096421471177,3.4125098e-17,3.362324e-18
3741.9013916500994,3.141878e-17,3.27602e-18
3747.392842942346,4.1158324e-17,3.3707746e-18
3752.884592445328,3.3663783e-17,3.2428946e-18
3758.3762425447317,2.8936538e-17,3.1724844e-18
3763.867992047714,3.1988755e-17,3.1573273e-18
3769.3596421471175,2.3568599e-17,3.0186455e-18
3774.8513916500997,3.6187137e-17,3.1292838e-18
3780.343041749503,3.3461884e-17,3.0642767e-18
3785.834791252485,2.9941936e-17,3.0145427e-18
3791.3265407554672,3.2198856e-17,3.0507716e-18
3796.8180914512923,2.471133e-17,2.9630488e-18
3802.3096421471173,1.4909853e-17,2.7938304e-18
3807.8013916500995,2.3597631e-17,2.9099972e-18
3813.2931411530817,2.1513791e-17,2.802961e-18
3818.7847912524853,1.1759135e-17,2.6622514e-18
3824.2765407554675,1.4382113e-17,2.6534637e-18
3829.7681908548707,1.5752646e-17,2.6064337e-18
3835.259940357853,1.241847e-17,2.560967e-18
3840.7515904572565,1.4163157e-17,2.5298798e-18
3846.2433399602387,1.0540266e-17,2.438058e-18
3851.7350894632204,1.8364417e-17,2.4820547e-18
3857.2265407554673,2.147257e-17,2.4774781e-18
3862.7181908548705,1.8032096e-17,2.4380886e-18
3868.2099403578527,1.9006878e-17,2.4703013e-18
3873.7015904572563,1.9768164e-17,2.5287753e-18
3879.1933399602385,2.2640129e-17,2.5926264e-18
3884.6850894632207,2.3623342e-17,2.5875213e-18
3890.1767395626243,2.7342937e-17,2.5767576e-18
3895.6684890656065,2.8851702e-17,2.5420027e-18
3901.16013916501,2.9049187e-17,2.4730347e-18
3906.651689860835,3.1380896e-17,2.50691e-18
3912.1433399602383,4.0473024e-17,2.6204267e-18
3917.6350894632205,4.2436364e-17,2.6351658e-18
3923.126739562624,4.8735788e-17,2.7038044e-18
3928.6184890656064,5.7065225e-17,2.7036578e-18
3934.11013916501,4.969887e-17,2.5988673e-18
3939.601888667992,5.5269614e-17,2.626436e-18
3945.0936381709744,5.591446e-17,2.6314456e-18
3950.5852882703775,5.332951e-17,2.6264025e-18
3956.07703777336,5.841285e-17,2.6734186e-18
3961.568588469185,5.574971e-17,2.6548231e-18
3967.0601391650102,5.4898776e-17,2.6321119e-18
3972.551888667992,5.175323e-17,2.6150672e-18
3978.043638170974,5.637882e-17,2.6799475e-18
3983.5352882703774,4.0892296e-17,2.5359126e-18
3989.02703777336,5.42577e-17,2.6343924e-18
3994.518687872763,4.9947237e-17,2.5960021e-18
4000.0104373757454,5.372073e-17,2.584887e-18
4005.5021868787276,5.2784804e-17,2.587369e-18
4010.993836978131,5.463625e-17,2.6013467e-18
4016.4852882703776,5.608069e-17,2.6079187e-18
4021.9771371769384,5.8559093e-17,2.6302408e-18
4027.4686878727634,5.959881e-17,2.6212378e-18
4032.960437375745,5.852352e-17,2.5991924e-18
4038.4521868787274,6.227194e-17,2.6283825e-18
4043.943836978131,6.383465e-17,2.6523213e-18
4049.435586481113,6.552151e-17,2.621945e-18
4054.927236580517,6.4412376e-17,2.6058561e-18
4060.418986083499,6.113781e-17,2.5618096e-18
4065.910735586481,5.855863e-17,2.5035051e-18
4071.402186878727,5.9011356e-17,2.4659714e-18
4076.8941351888666,6.147857e-17,2.4731608e-18
4082.385685884692,6.0231785e-17,2.4495029e-18
4087.877733598409,6.244989e-17,2.4800982e-18
4093.368787276342,5.5674404e-17,2.4349761e-18
4098.860437375745,5.591716e-17,2.4283742e-18
4104.352385685885,5.348263e-17,2.4135176e-18
4109.84393638171,5.3397106e-17,2.4013171e-18
4115.335984095428,5.262766e-17,2.3848792e-18
4120.827236580517,5.049794e-17,2.345009e-18
4126.319085487078,5.1867894e-17,2.3701628e-18
4131.810735586481,4.9850374e-17,2.3598981e-18
4137.302683896621,5.0083807e-17,2.3886668e-18
4142.794234592445,4.8571606e-17,2.3682855e-18
4148.286282306163,5.1144736e-17,2.3696537e-18
4153.777335984095,5.208079e-17,2.3403572e-18
4159.268986083499,4.7172615e-17,2.2914876e-18
4164.760934393638,4.4097293e-17,2.2362015e-18
4170.252485089463,4.8808358e-17,2.264487e-18
4175.744532803181,4.697351e-17,2.2293603e-18
4181.235586481113,4.682584e-17,2.2227962e-18
4186.727634194831,4.727136e-17,2.2233029e-18
4192.219284294234,4.9170454e-17,2.238533e-18
4197.711232604373,5.0212275e-17,2.2234768e-18
4203.2027833001985,4.311418e-17,2.1490363e-18
4208.694135188866,4.7325527e-17,2.1761335e-18
4214.1858846918485,4.2845858e-17,2.1422952e-18
4219.677534791253,4.100067e-17,2.1324176e-18
4225.169483101391,4.557531e-17,2.1813092e-18
4230.661033797217,4.496612e-17,2.1869994e-18
4236.1530815109345,4.990526e-17,2.2186661e-18
4241.644135188867,4.8311216e-17,2.1762419e-18
4247.136182902585,4.338821e-17,2.1462285e-18
4252.627833001989,4.2173188e-17,2.1320504e-18
4258.119284294235,4.8592454e-17,2.1810538e-18
4263.611332007952,5.3643344e-17,2.1929884e-18
4269.102683896621,4.92211e-17,2.1652906e-18
4274.594433399602,5.6072383e-17,2.201363e-18
4280.086083499006,5.5068338e-17,2.1953984e-18
4285.578031809146,5.728333e-17,2.2273166e-18
4291.06958250497,5.657634e-17,2.2289101e-18
4296.561630218688,5.835204e-17,2.2412122e-18
4302.05268389662,5.8803754e-17,2.212347e-18
4307.544731610338,5.778628e-17,2.2045648e-18
4313.036381709741,5.467689e-17,2.1767512e-18
4318.527833001988,5.7782516e-17,2.2072014e-18
4324.019880715706,5.7152986e-17,2.2029424e-18
4329.511232604374,5.981638e-17,2.2208186e-18
4335.002982107356,5.532569e-17,2.194973e-18
4340.494632206759,5.946352e-17,2.2243637e-18
4345.986580516898,6.593714e-17,2.2646698e-18
4351.478131212724,6.31667e-17,2.251122e-18
4356.970178926442,5.876187e-17,2.2139342e-18
4362.461232604374,6.092959e-17,2.2099174e-18
4367.9528827037775,6.060086e-17,2.2112542e-18
4373.444831013916,5.5124934e-17,2.1773565e-18
4378.936381709742,5.8275695e-17,2.2322015e-18
4384.4284294234585,5.657182e-17,2.2162011e-18
4389.919781312127,5.615841e-17,2.2034098e-18
4395.411530815109,5.6498295e-17,2.208689e-18
4400.9031809145135,5.6073786e-17,2.1897808e-18
4406.395129224652,5.830967e-17,2.1984688e-18
4411.886679920477,5.767362e-17,2.198447e-18
4417.378727634195,5.9948644e-17,2.2028575e-18
