wl,flux,fluxerr
3316.2697720515366,2.998817e-16,2.7176501e-17
3320.316352824579,3.445495e-16,2.7128679e-17
3324.362933597622,3.2237976e-16,2.5951245e-17
3328.4098116947475,3.2420583e-16,2.5888624e-17
3332.45639246779,3.5000886e-16,2.5417574e-17
3336.502973240833,4.1647173e-16,2.5635075e-17
3340.5495540138754,3.8095667e-16,2.4804313e-17
3344.5961347869184,3.162682e-16,2.3627772e-17
3348.6427155599604,3.973165e-16,2.3981624e-17
3352.6892963330033,4.0997176e-16,2.3439554e-17
3356.7361744301293,3.4394387e-16,2.2639351e-17
3360.7827552031717,4.1241195e-16,2.273477e-17
3364.829335976214,3.8472848e-16,2.2039107e-17
3368.875916749257,4.1909533e-16,2.2200234e-17
3372.9224975222996,4.419354e-16,2.223088e-17
3376.9690782953426,3.5536584e-16,2.0752727e-17
3381.015659068385,3.9239217e-16,2.1334393e-17
3385.0624380574827,3.606603e-16,2.0948119e-17
3389.1090188305257,3.6283495e-16,2.0669956e-17
3393.155599603568,3.8903305e-16,2.059475e-17
3397.202180376611,4.14626e-16,2.055808e-17
3401.2487611496535,4.165277e-16,2.0219131e-17
3405.2953419226965,3.9962993e-16,1.9813181e-17
3409.34231912785,3.9949293e-16,1.9219682e-17
3413.3888999008923,4.3585478e-16,1.9630187e-17
3417.4354806739348,3.888163e-16,1.8802811e-17
3421.4820614469777,4.058246e-16,1.8750747e-17
3425.52864222002,4.29798e-16,1.8534697e-17
3429.575222993063,3.8939965e-16,1.7979811e-17
3433.621803766105,3.9283781e-16,1.8152126e-17
3437.668681863231,4.2032533e-16,1.8039319e-17
3441.715262636274,4.1166775e-16,1.7742882e-17
3445.7618434093165,4.0336564e-16,1.74957e-17
3449.808424182359,4.0933018e-16,1.7099064e-17
3453.8550049554015,4.231679e-16,1.6954747e-17
3457.9015857284444,4.3116605e-16,1.7049053e-17
3461.948166501487,4.1989175e-16,1.6650676e-17
3465.995044598613,4.0676552e-16,1.6370394e-17
3470.0416253716553,4.2129023e-16,1.6309477e-17
3474.0882061446982,4.320888e-16,1.6163632e-17
3478.1347869177407,4.1378126e-16,1.595598e-17
3482.1813676907836,4.1595252e-16,1.5770766e-17
3486.2279484638257,4.3606934e-16,1.5695277e-17
3490.2745292368686,4.267231e-16,1.5612946e-17
3494.3214073339946,4.1240322e-16,1.544872e-17
3498.367988107037,4.1699517e-16,1.5198706e-17
3502.4145688800795,4.0068793e-16,1.4978206e-17
3506.461149653122,4.2060046e-16,1.5076214e-17
3510.507730426165,4.8491784e-16,1.5411753e-17
3514.5543111992074,4.2341202e-16,1.4832238e-17
3518.6008919722503,4.5113197e-16,1.4768603e-17
3522.647770069376,4.2798682e-16,1.4411294e-17
3526.6943508424188,4.3383495e-16,1.4245595e-17
3530.7409316154612,4.2910242e-16,1.4154177e-17
3534.787512388504,4.1130856e-16,1.3841941e-17
3538.834093161546,4.437584e-16,1.3912918e-17
3542.880673934589,3.989663e-16,1.3387293e-17
3546.9272547076316,4.1372003e-16,1.33956565e-17
3550.974132804757,4.2739096e-16,1.3495993e-17
3555.0207135778,4.0116407e-16,1.3164528e-17
3559.0672943508425,4.5163733e-16,1.3430343e-17
3563.113974231913,3.975371e-16,1.2888096e-17
3567.1605550049558,4.4532477e-16,1.3063716e-17
3571.2071357779982,4.2638715e-16,1.2949029e-17
3575.253716551041,4.088506e-16,1.2574672e-17
3579.3004955401393,4.505484e-16,1.2952672e-17
3583.347076313182,4.4145245e-16,1.2802414e-17
3587.3936570862243,4.441505e-16,1.28006555e-17
3591.4402378592667,4.492311e-16,1.26657895e-17
3595.4868186323097,4.4707225e-16,1.26456725e-17
3599.533399405352,4.570421e-16,1.2613648e-17
3603.579980178395,4.3177383e-16,1.2267442e-17
3607.6268582755206,4.4347707e-16,1.2245041e-17
3611.673439048563,4.4749365e-16,1.2170015e-17
3615.720019821606,4.253495e-16,1.1903388e-17
3619.7666005946485,4.5267124e-16,1.20110504e-17
3623.813181367691,4.5235853e-16,1.1929163e-17
3627.8597621407334,4.6690235e-16,1.1925149e-17
3631.9063429137764,4.29377e-16,1.15633745e-17
3635.9532210109023,4.6004466e-16,1.1701101e-17
3639.999801783945,4.606932e-16,1.1529739e-17
3644.0463825569873,4.6134454e-16,1.1474831e-17
3648.09296333003,4.495587e-16,1.13592445e-17
3652.1395441030727,4.3998915e-16,1.1172418e-17
3656.1861248761156,4.541535e-16,1.1253275e-17
3660.2327056491577,4.3222328e-16,1.14713755e-17
3664.279484638256,4.7076424e-16,1.12264845e-17
3668.3260654112987,4.473699e-16,1.1016604e-17
3672.372646184341,4.2744927e-16,1.0747641e-17
3676.419226957384,4.8110677e-16,1.1043169e-17
3680.4658077304266,4.7017375e-16,1.0923752e-17
3684.512388503469,4.6444886e-16,1.0817787e-17
3688.5589692765116,4.6536927e-16,1.0795553e-17
3692.6059464816653,4.506545e-16,1.0673753e-17
3696.652527254708,4.5906565e-16,1.0682118e-17
3700.6991080277508,4.6040153e-16,1.05455155e-17
3704.7456888007932,4.7112994e-16,1.0558836e-17
3708.792269573836,4.3727353e-16,1.0243055e-17
3712.838850346878,4.6105327e-16,1.0291912e-17
3716.885431119921,4.4967047e-16,1.0218318e-17
