wl,flux,fluxerr
3549.5906158357775,3.0846698e-16,1.6877145e-17
3554.98797653959,3.3158812e-16,1.6640794e-17
3560.385337243402,3.0240233e-16,1.6273032e-17
3565.7829912023462,3.336965e-16,1.6155569e-17
3571.180254154448,3.4486348e-16,1.5978797e-17
3576.5776148582604,3.1916384e-16,1.539346e-17
3581.974975562073,3.6113276e-16,1.5212437e-17
3587.3722385141746,3.0493715e-16,1.4863236e-17
3592.7695992179865,3.1776245e-16,1.467365e-17
3598.166959921799,3.0999587e-16,1.4719887e-17
3603.5645161290327,3.3296055e-16,1.4755372e-17
3608.9618768328446,3.419638e-16,1.4688455e-17
3614.3592375366575,3.1614414e-16,1.4316802e-17
3619.7565982404694,3.708538e-16,1.4513125e-17
3625.153958944282,2.8426603e-16,1.3903884e-17
3630.5513196480942,3.42614e-16,1.4232043e-17
3635.948582600196,3.3366256e-16,1.4112227e-17
3641.3462365591404,3.0947445e-16,1.3795161e-17
3646.7435972629523,3.1864122e-16,1.375448e-17
3652.140860215054,3.5389632e-16,1.39024e-17
3657.5382209188665,3.2210215e-16,1.34764795e-17
3662.9354838709683,3.7355895e-16,1.463769e-17
3668.332942326491,3.670562e-16,1.32437415e-17
3673.7302052785926,3.341895e-16,1.2891989e-17
3679.127859237537,3.1684392e-16,1.2644113e-17
3684.5252199413494,3.3103284e-16,1.2567723e-17
3689.922580645162,3.0161538e-16,1.2376658e-17
3695.3199413489738,3.243576e-16,1.23848385e-17
3700.7172043010755,3.437582e-16,1.233217e-17
3706.114565004888,3.8709655e-16,1.2552825e-17
3711.5119257087,4.8994387e-16,1.32524426e-17
3716.909481915934,5.931641e-16,1.37784236e-17
3722.3069403714567,6.533895e-16,1.4075055e-17
3727.7042033235584,6.4869214e-16,1.4135948e-17
3733.1016617790815,5.548863e-16,1.3558344e-17
3738.498924731183,4.2933514e-16,1.2506447e-17
3743.8962854349957,3.32287e-16,1.18904334e-17
3749.293841642229,3.5879844e-16,1.1849807e-17
3754.6911045943307,3.558932e-16,1.16095155e-17
3760.0885630498537,3.622407e-16,1.15678644e-17
3765.4858260019555,3.7994735e-16,1.15269455e-17
3770.8831867057675,3.6870526e-16,1.1253192e-17
3776.2805474095803,3.77547e-16,1.1077602e-17
3781.6779081133923,4.0445715e-16,1.11594e-17
3787.075464320626,3.8612725e-16,1.0928574e-17
3792.4728250244384,3.9104213e-16,1.0962118e-17
3797.8701857282504,3.9497226e-16,1.0939577e-17
3803.2675464320628,4.0195877e-16,1.1039147e-17
3808.664907135875,4.1216951e-16,1.1151057e-17
3814.062170087977,4.255125e-16,1.1193173e-17
3819.4595307917893,4.0850787e-16,1.10951746e-17
3824.8571847507333,3.895552e-16,1.080625e-17
3830.254447702835,3.8775125e-16,1.0640439e-17
3835.6518084066474,3.3819527e-16,1.023359e-17
3841.04916911046,3.8077718e-16,1.0379728e-17
3846.4465298142723,4.1053913e-16,1.05421026e-17
3851.843890518084,4.4210189e-16,1.0738686e-17
3857.241251221897,4.6034044e-16,1.0844044e-17
3862.6388074291303,4.723848e-16,1.0829822e-17
3868.0361681329427,4.9385255e-16,1.083779e-17
3873.433528836755,4.570421e-16,1.0528021e-17
3878.830889540567,4.4562875e-16,1.04197824e-17
3884.228152492669,3.9216567e-16,1.0015063e-17
3889.625610948192,3.8618784e-16,9.973186e-18
3895.0228739002937,3.95692e-16,1.00793645e-17
3900.420430107527,4.1296427e-16,1.02701645e-17
3905.81779081134,4.1870654e-16,1.0259721e-17
3911.215053763441,4.3044827e-16,1.0356278e-17
3916.612512218964,4.4232026e-16,1.0373632e-17
3922.009775171066,4.2637272e-16,1.026572e-17
3927.4071358748783,4.303799e-16,1.019151e-17
3932.8047898338227,4.4237455e-16,1.02380715e-17
3938.2021505376347,4.2124756e-16,1.0154935e-17
3943.5994134897364,4.1100476e-16,1.004969e-17
3948.996774193549,4.2543958e-16,1.0165048e-17
3954.3941348973613,4.1990475e-16,1.0083616e-17
3959.791495601173,4.2490905e-16,1.0015889e-17
3965.1888563049856,3.734783e-16,9.7823835e-18
3970.58651026393,3.8742146e-16,9.7664495e-18
3975.9837732160318,3.9083358e-16,9.716871e-18
3981.3812316715544,3.852262e-16,9.656607e-18
3986.778494623656,4.1259083e-16,9.767894e-18
3992.175757575758,4.4098433e-16,9.8196695e-18
3997.5731182795703,4.809385e-16,9.944751e-18
4002.9704789833822,4.5536544e-16,9.773715e-18
4008.368035190616,4.686144e-16,9.773472e-18
4013.765395894429,4.6603785e-16,9.703026e-18
4019.162756598241,4.549859e-16,9.678243e-18
4024.560117302053,4.476222e-16,9.5834995e-18
4029.957478005865,4.554492e-16,9.6356185e-18
4035.3548387096776,4.2324087e-16,9.4992545e-18
4040.7521994134904,4.4229776e-16,9.5311365e-18
4046.149560117303,4.603619e-16,9.548419e-18
4051.546823069404,4.410657e-16,9.457022e-18
4056.9442815249267,4.6505185e-16,9.548683e-18
4062.3421309872924,4.5423693e-16,9.51603e-18
4067.7393939393946,4.3890418e-16,9.473806e-18
4073.1368523949177,4.5578044e-16,9.547254e-18
4078.5340175953083,4.5221146e-16,9.469161e-18
4083.931573802542,4.4589524e-16,9.405539e-18
4089.328739002933,4.2927786e-16,9.269002e-18
4094.7262952101664,4.2115484e-16,9.102041e-18
4100.1234604105575,4.1745256e-16,9.002918e-18
4105.52082111437,4.1210458e-16,8.880733e-18
4110.91788856305,4.0116433e-16,8.819995e-18
4116.315444770285,3.9476198e-16,8.774292e-18
4121.712609970675,4.3247652e-16,8.986137e-18
4127.1101661779085,4.3616148e-16,8.921285e-18
4132.5073313783,4.515929e-16,8.965837e-18
4137.905180840666,4.615432e-16,8.980263e-18
4143.302639296188,4.4753854e-16,8.927428e-18
4148.69990224829,4.477598e-16,8.948148e-18
4154.097360703812,4.4839817e-16,8.913168e-18
4159.4946236559135,4.5226964e-16,8.970796e-18
4164.892082111437,4.6558257e-16,8.963801e-18
4170.289345063539,4.51389e-16,8.879862e-18
4175.686705767352,4.4341802e-16,8.8560785e-18
4181.084066471163,4.619914e-16,8.884296e-18
4186.481427174976,4.4135223e-16,8.785839e-18
4191.878787878789,4.4303886e-16,8.722373e-18
4197.2761485826,4.3651565e-16,8.6804085e-18
4202.673509286413,4.3993044e-16,8.67734e-18
4208.071358748778,4.3677164e-16,8.642181e-18
4213.468621700879,4.301174e-16,8.6018404e-18
4218.866080156403,4.456481e-16,8.6577305e-18
4224.263343108505,4.3960952e-16,8.650387e-18
4229.660801564028,4.3535995e-16,8.591393e-18
4235.058064516129,4.2066727e-16,8.501056e-18
4240.4555229716525,4.1125178e-16,8.4625565e-18
4245.852688172044,4.119037e-16,8.4726894e-18
4251.250244379277,4.0247978e-16,8.436036e-18
4256.6474095796675,4.002973e-16,8.3746495e-18
4262.044965786902,4.0412095e-16,8.426277e-18
4267.442130987293,3.8931876e-16,8.359244e-18
4272.8393939393945,4.1353292e-16,8.460461e-18
4278.236559139786,4.03171e-16,8.348981e-18
4283.634408602151,3.8629787e-16,8.2325605e-18
4289.031964809385,3.8486295e-16,8.170254e-18
4294.429130009776,4.0293622e-16,8.271566e-18
4299.826686217009,3.9832897e-16,8.241009e-18
4305.2238514174,3.8140242e-16,8.204364e-18
4310.621309872923,3.9200402e-16,8.319325e-18
4316.018572825025,3.7820373e-16,8.279832e-18
4321.416031280548,4.0210322e-16,8.381369e-18
4326.813294232649,3.922464e-16,8.321604e-18
4332.210752688173,4.0161241e-16,8.34993e-18
4337.608015640274,3.6934636e-16,8.1804755e-18
4343.0053763440865,3.7639743e-16,8.152496e-18
4348.402737047899,3.806393e-16,8.081066e-18
4353.800097751711,3.7572584e-16,8.038981e-18
4359.1979472140765,3.9868036e-16,8.109251e-18
4364.595307917889,3.9927124e-16,8.1178546e-18
4369.992570869991,3.8631902e-16,8.063724e-18
