wl,flux,fluxerr
3337.574128440367,8.5444824e-16,1.6102627e-17
3342.6375229357795,9.506949e-16,1.6440592e-17
3347.7009174311925,9.948537e-16,1.637957e-17
3352.7644036697243,9.672257e-16,1.6102124e-17
3357.8277064220183,9.374106e-16,1.5619443e-17
3362.8911009174312,8.8466313e-16,1.5121212e-17
3367.9544036697243,9.087469e-16,1.5025944e-17
3373.0177981651373,9.379446e-16,1.507907e-17
3378.0812844036695,9.85422e-16,1.5208399e-17
3383.1446788990825,9.478124e-16,1.5034706e-17
3388.2079816513756,9.398863e-16,1.4842443e-17
3393.271376146789,9.677539e-16,1.4941845e-17
3398.3346788990825,9.507041e-16,1.461573e-17
3403.398165137615,9.420524e-16,1.4478366e-17
3408.4615596330273,8.7646607e-16,1.4148264e-17
3413.52495412844,8.0796424e-16,1.3851517e-17
3418.5882568807338,8.2103894e-16,1.3769153e-17
3423.651651376146,7.9747776e-16,1.3528992e-17
3428.715229357798,8.249494e-16,1.3426742e-17
3433.7785321100914,9.02153e-16,1.36383e-17
3438.841834862385,9.499984e-16,1.3622392e-17
3443.905229357798,9.643375e-16,1.3578007e-17
3448.9685321100915,1.0109808e-15,1.3694128e-17
3454.0321100917427,1.1258417e-15,1.4115129e-17
3459.0954128440367,1.1647704e-15,1.422891e-17
3464.1587155963302,1.1229719e-15,1.385801e-17
3469.2221100917427,1.0299806e-15,1.3391509e-17
3474.2855045871556,1.0073453e-15,1.3130703e-17
3479.349082568807,1.0580568e-15,1.3232119e-17
3484.412385321101,1.1028726e-15,1.3386619e-17
3489.4757798165138,1.0496815e-15,1.3068673e-17
3494.539082568807,9.471313e-16,1.26087215e-17
3499.60247706422,8.668066e-16,1.20530745e-17
3504.666055045871,7.6781874e-16,1.1580662e-17
3509.729357798165,7.2914073e-16,1.1308806e-17
3514.792660550458,8.0830575e-16,1.1655059e-17
3519.855963302752,9.723726e-16,1.2328225e-17
3524.9196330275227,1.0282422e-15,1.2464995e-17
3529.982935779816,1.0225884e-15,1.2295286e-17
3535.04623853211,1.0448629e-15,1.2267696e-17
3540.1096330275227,1.0164719e-15,1.20196e-17
3545.1729357798163,1.0022039e-15,1.18619586e-17
3550.2365137614674,9.757738e-16,1.1632541e-17
3555.2999082568804,9.514696e-16,1.1434978e-17
3560.3633027522933,9.748416e-16,1.1429706e-17
3565.426605504587,1.0068244e-15,1.1550514e-17
3570.4899082568804,1.0617066e-15,1.1790746e-17
3575.553486238532,1.0945015e-15,1.1976486e-17
3580.6167889908256,1.1466351e-15,1.2209751e-17
3585.680183486238,1.1342243e-15,1.2121304e-17
3590.743486238532,1.0378507e-15,1.15458135e-17
3595.806788990825,7.5930093e-16,1.0114067e-17
3600.870366972477,5.8927e-16,9.1227095e-18
3605.9337614678893,5.9938714e-16,9.161361e-18
3610.9970642201833,7.934198e-16,1.0136761e-17
3616.0604587155963,9.937895e-16,1.1064666e-17
3621.123853211009,1.1145736e-15,1.1485971e-17
3626.187339449541,9.562466e-16,1.0734179e-17
3631.2506422018346,7.442796e-16,9.591483e-18
3636.3140366972475,6.74469e-16,9.208814e-18
3641.377339449541,8.616724e-16,1.0082094e-17
3646.4407339449535,1.1190716e-15,1.1192986e-17
3651.504220183486,1.2754519e-15,1.1810413e-17
3656.5676146788987,1.3428027e-15,1.2004293e-17
3661.6309174311928,1.4059806e-15,1.2161107e-17
3666.694311926605,1.4052243e-15,1.217186e-17
3671.757614678899,1.4211595e-15,1.2209625e-17
3676.821100917431,1.4364101e-15,1.2269261e-17
3681.884587155963,1.4721599e-15,1.2342172e-17
3686.947889908257,1.4829783e-15,1.2308291e-17
3692.01119266055,1.4676151e-15,1.2194694e-17
3697.074587155963,1.4662357e-15,1.2132765e-17
3702.138165137614,1.4599076e-15,1.21038436e-17
3707.201467889908,1.4296701e-15,1.2004207e-17
3712.2648623853206,1.409333e-15,1.1889404e-17
3717.3281651376146,1.4477623e-15,1.196476e-17
3722.391467889908,1.3931542e-15,1.1761725e-17
3727.4550458715594,1.4021565e-15,1.1786894e-17
3732.518348623853,1.4015887e-15,1.1742376e-17
3737.5816513761465,1.426e-15,1.1756838e-17
3742.645137614679,1.4865819e-15,1.1878776e-17
3747.708440366972,1.4982484e-15,1.1865362e-17
3752.7720183486235,1.425465e-15,1.1553244e-17
3757.835321100917,1.3610052e-15,1.1271089e-17
3762.8987155963296,1.4081735e-15,1.1364983e-17
3767.9620183486236,1.4534487e-15,1.1503822e-17
3773.0254128440365,1.5178215e-15,1.1699785e-17
3778.0887155963296,1.5463877e-15,1.1754177e-17
3783.152018348623,1.5198157e-15,1.166223e-17
3788.215596330275,1.5007888e-15,1.1583831e-17
3793.279174311926,1.5319522e-15,1.1659358e-17
3798.3425688073394,1.5193366e-15,1.1587214e-17
3803.405871559633,1.5378164e-15,1.1600015e-17
3808.469174311926,1.5381159e-15,1.2836641e-17
3813.5325688073394,1.5669069e-15,1.2046218e-17
3818.595871559633,1.5744965e-15,1.1739869e-17
3823.6592660550455,1.5313798e-15,1.1587185e-17
3828.722568807339,1.5111308e-15,1.1471545e-17
3833.7859633027515,1.4660579e-15,1.1294864e-17
3838.849541284403,1.5102205e-15,1.1345195e-17
3843.9128440366967,1.4982996e-15,1.1257401e-17
3848.976422018348,1.4967235e-15,1.12269775e-17
3854.039724770642,1.5283801e-15,1.12501675e-17
3859.1031192660553,1.5476611e-15,1.1321907e-17
3864.166422018348,1.540869e-15,1.12553606e-17
3869.229724770642,1.5131718e-15,1.1116736e-17
3874.2931192660553,1.4431206e-15,1.08651125e-17
3879.356422018348,1.4596408e-15,1.0882127e-17
3884.4198165137614,1.4620705e-15,1.0884777e-17
3889.483486238532,1.4932361e-15,1.09563166e-17
3894.546788990825,1.478825e-15,1.0928236e-17
3899.610091743119,1.4780034e-15,1.08785475e-17
3904.6733944954126,1.465368e-15,1.0842095e-17
3909.736972477064,1.4615753e-15,1.0822965e-17
3914.800275229358,1.3914792e-15,1.05854055e-17
3919.8636697247703,1.4016055e-15,1.0583372e-17
3924.926972477064,1.3900308e-15,1.0521979e-17
3929.990366972477,1.3617903e-15,1.0409233e-17
3935.0536697247703,1.3044933e-15,1.0181512e-17
3940.11743119266,1.1927032e-15,9.799107e-18
3945.180733944954,1.0801098e-15,9.362212e-18
3950.244036697247,1.1120309e-15,9.48849e-18
3955.307339449541,1.2993334e-15,1.0120063e-17
3960.3706422018345,1.4152624e-15,1.0497502e-17
3965.4339449541285,1.4813916e-15,1.0660724e-17
3970.4975229357797,1.5047765e-15,1.0722914e-17
3975.560825688073,1.4356858e-15,1.0464072e-17
3980.624220183486,1.4100847e-15,1.03805435e-17
3985.6875229357797,1.4579773e-15,1.0509851e-17
3990.7513761467885,1.4990766e-15,1.0641192e-17
3995.8146788990825,1.578675e-15,1.0854256e-17
4000.877981651376,1.5828833e-15,1.0876312e-17
4005.941284403669,1.579974e-15,1.0835221e-17
4011.004587155963,1.5349729e-15,1.0687135e-17
4016.067889908257,1.4663667e-15,1.0473741e-17
4021.1311926605504,1.4477654e-15,1.0390227e-17
4026.194678899082,1.4823395e-15,1.0481954e-17
4031.2580733944947,1.5224619e-15,1.0589774e-17
4036.3213761467887,1.527272e-15,1.0623012e-17
4041.385321100917,1.5784958e-15,1.0788766e-17
4046.448623853211,1.6066591e-15,1.0895575e-17
4051.5119266055044,1.6303038e-15,1.09504486e-17
4056.5752293577984,1.64061e-15,1.0970765e-17
4061.638532110091,1.660883e-15,1.0964862e-17
4066.701834862385,1.6423708e-15,1.0902661e-17
4071.7651376146787,1.6657388e-15,1.0950109e-17
4076.8284403669727,1.6428205e-15,1.08756284e-17
4081.8917431192654,1.6463352e-15,1.0841502e-17
4086.955229357798,1.5916713e-15,1.0651505e-17
4092.019266055046,1.6286912e-15,1.0744201e-17
4097.082568807339,1.6739717e-15,1.087012e-17
4102.145871559633,1.7321647e-15,1.10162954e-17
4107.209174311926,1.7380623e-15,1.1007824e-17
4112.27247706422,1.7417272e-15,1.1017e-17
4117.335779816513,1.7151545e-15,1.0930016e-17
