wl,flux,fluxerr
3154.4924385633267,1.1707601e-16,4.527675e-17
3158.348015122873,2.3578973e-16,4.641094e-17
3162.2037807183365,1.301757e-16,4.4559733e-17
3166.0595463137993,2.1416507e-16,4.396654e-17
3169.9152173913044,2.5215745e-16,4.2968367e-17
3173.770888468809,1.8568378e-16,4.0320777e-17
3177.6266540642723,1.4427111e-16,3.912143e-17
3181.482041587901,2.3798767e-16,3.8797884e-17
3185.3378071833645,1.5385488e-16,3.6557694e-17
3189.1934782608696,1.4912354e-16,3.5632757e-17
3193.0491493383743,1.3881287e-16,3.463806e-17
3196.9049149338375,2.6500736e-16,3.4855045e-17
3200.7606805293003,2.0198729e-16,3.316335e-17
3204.6163516068054,1.2463324e-16,3.1899006e-17
3208.4721172022687,2.1751375e-16,3.221862e-17
3212.327788279773,1.8066574e-16,3.1309094e-17
3216.183553875236,1.7366478e-16,3.060829e-17
3220.039224952741,2.3055512e-16,3.0328944e-17
3223.894990548204,2.021538e-16,2.9369074e-17
3227.7506616257087,1.212195e-16,2.7982597e-17
3231.606427221172,1.2222083e-16,2.7772096e-17
3235.4621928166353,1.6477168e-16,2.7686858e-17
3239.3177693761813,1.778656e-16,2.7576559e-17
3243.173534971644,1.7724793e-16,2.7099522e-17
3247.0293005671074,9.7929575e-17,2.7347984e-17
3250.884971644612,9.4983753e-17,2.6275066e-17
3254.740642722117,1.3511899e-16,2.5266316e-17
3258.59640831758,1.9206841e-16,2.5281998e-17
3262.452079395085,1.9983135e-16,2.4375444e-17
3266.3078449905483,2.054256e-16,2.4874138e-17
3270.1633270321363,1.8449321e-16,2.4031829e-17
3274.018903591682,2.1425968e-16,2.4356636e-17
3277.8747637051038,1.7503368e-16,2.3946518e-17
3281.7304347826084,1.7316539e-16,2.2995303e-17
3285.586105860113,1.635325e-16,2.251177e-17
3289.4418714555763,2.1469311e-16,2.2274837e-17
3293.297542533081,1.9222444e-16,2.1758983e-17
3297.1533081285443,1.9416056e-16,2.1754086e-17
3301.0089792060494,2.515829e-16,2.1574255e-17
3304.8647448015117,1.8752858e-16,2.0868364e-17
3308.720415879017,2.0252486e-16,2.063597e-17
3312.5761814744797,1.9503468e-16,2.0259088e-17
3316.431947069943,1.990383e-16,1.9939498e-17
3320.287618147448,1.9577936e-16,1.9749582e-17
3324.1432892249527,1.9208489e-16,1.9336321e-17
3327.999054820416,1.7323904e-16,1.9010324e-17
3331.8547258979206,1.9357615e-16,1.9372902e-17
3335.7103969754253,2.1187275e-16,1.938258e-17
3339.566162570888,1.6151192e-16,1.8966601e-17
3343.4218336483927,2.3403862e-16,1.9575563e-17
3347.277599243856,1.8295033e-16,1.8771054e-17
