wl,flux,fluxerr
3254.558634146342,2.0314004e-17,1.720414e-17
3258.5406829268295,4.977936e-17,1.7905044e-17
3262.5229268292683,3.521335e-17,1.7444764e-17
3266.504878048781,4.8023042e-17,1.7804249e-17
3270.4871219512197,1.1584282e-17,1.7212351e-17
3274.4690731707324,-2.2381377e-17,1.6627277e-17
3278.451317073171,2.3190139e-17,1.667862e-17
3282.433268292683,3.7939618e-17,1.5900445e-17
3286.415609756098,2.0598948e-17,1.5587023e-17
3290.39756097561,1.9899982e-17,1.5299443e-17
3294.379512195122,1.2918785e-17,1.46756e-17
3298.3617560975613,5.9444296e-17,1.4894292e-17
3302.3437073170735,3.9678167e-17,1.4295095e-17
3306.3259512195127,5.4576695e-17,1.4473459e-17
3310.3080000000004,1.8731424e-17,1.4168418e-17
3314.290243902439,7.722427e-17,1.4064613e-17
3318.2721951219514,5.0608614e-17,1.3792437e-17
3322.2541463414636,1.5694695e-17,1.329731e-17
3326.236390243903,-1.29710556e-17,1.2967659e-17
3330.2184390243906,2.4842626e-18,1.2685282e-17
3334.2006829268294,4.8275227e-17,1.2961345e-17
3338.182634146342,5.007802e-17,1.2452134e-17
3342.164878048781,6.3884482e-18,1.1771933e-17
3346.146829268293,2.3177665e-17,1.18719195e-17
3350.128780487805,3.7488514e-17,1.2010445e-17
3354.11112195122,1.6832282e-17,1.1348026e-17
3358.093073170732,2.2288145e-17,1.1354107e-17
3362.075317073171,4.102287e-17,1.1372485e-17
3366.057268292683,4.5354164e-18,1.059962e-17
3370.0395121951224,3.8996335e-17,1.0658323e-17
3374.021463414634,5.8722213e-18,1.0475903e-17
3378.003512195122,2.5959748e-17,1.09131105e-17
3381.9857560975615,1.3931351e-17,1.0741458e-17
3385.9678048780493,4.4387944e-17,1.04683834e-17
3389.9499512195125,3.5901736e-17,1.0248418e-17
3393.9320000000002,1.9529211e-17,9.806353e-18
3397.914146341464,3.2781502e-17,9.62494e-18
3401.8961951219517,3.2419792e-17,9.451662e-18
3405.8781463414634,2.99333e-17,9.101225e-18
3409.860487804878,3.709052e-17,9.2809086e-18
3413.842439024391,3.154602e-17,9.100242e-18
3417.8246829268296,1.781816e-17,8.8894875e-18
3421.806634146342,2.3055244e-17,8.845411e-18
3425.7888780487806,1.110095e-17,8.219759e-18
3429.7708292682933,3.2212365e-17,8.3908e-18
3433.752878048781,3.3439074e-17,8.356891e-18
3437.7351219512198,7.351958e-18,8.30434e-18
3441.7170731707324,2.6672738e-17,8.52713e-18
3445.699317073171,-4.3674294e-19,8.449301e-18
3449.681268292683,3.77606e-17,8.670514e-18
3453.663512195122,3.394525e-17,8.443652e-18
3457.64556097561,2.0904606e-17,8.294558e-18
3461.627512195122,3.4826918e-17,8.1783786e-18
3465.6097560975613,4.4998367e-17,7.868512e-18
3469.591707317073,3.481402e-17,7.653496e-18
3473.5739512195128,2.597914e-17,7.231693e-18
3477.5560000000005,3.0437795e-17,7.2839e-18
3481.5382439024393,5.1945987e-18,6.85838e-18
3485.5201951219515,2.5330631e-17,7.013777e-18
3489.5021463414637,3.30487e-17,6.873878e-18
3493.484390243903,4.6287618e-17,7.646696e-18
3497.4663414634147,3.3883846e-17,6.8493657e-18
3501.4486829268294,1.8234813e-17,6.605083e-18
3505.430634146342,4.4061337e-17,6.66235e-18
3509.412878048781,2.3192404e-17,6.480197e-18
3513.394829268293,1.6644639e-17,6.3855547e-18
3517.377073170732,2.9225082e-17,6.616813e-18
3521.359024390244,3.096003e-17,6.513103e-18
3525.341073170732,3.1007616e-17,6.477931e-18
3529.323317073171,3.3295012e-17,6.5493956e-18
3533.3053658536587,3.567854e-17,6.5380637e-18
3537.2875121951224,2.7509827e-17,6.562896e-18
3541.26956097561,2.0198424e-17,6.3093685e-18
3545.2517073170734,4.0882168e-17,6.218664e-18
