wl,flux,fluxerr
3542.004188175709,1.5267142e-16,5.7309447e-18
3547.381318788351,1.511577e-16,5.662884e-18
3552.7583520015587,1.3902885e-16,5.472114e-18
3558.1354826142015,1.4819285e-16,5.4652737e-18
3563.5126132268433,1.4436991e-16,5.2993065e-18
3568.8898412389212,1.4539759e-16,5.2589095e-18
3574.2670692509982,1.474407e-16,5.1486873e-18
3579.644199863641,1.3225248e-16,5.0020034e-18
3585.021135677413,1.5443647e-16,5.0907813e-18
3590.398363689491,1.4799235e-16,5.050068e-18
3595.775494302133,1.4541553e-16,5.004411e-18
3601.1527223142107,1.5572575e-16,4.9968484e-18
3606.5298529268534,1.3599421e-16,4.773889e-18
3611.9070809389304,1.5273496e-16,4.8335323e-18
3617.284016752703,1.5531363e-16,4.802275e-18
3622.661147365345,1.4008793e-16,4.660343e-18
3628.038375377423,1.4811242e-16,4.6833027e-18
3633.4155059900654,1.5227668e-16,4.663761e-18
3638.792734002143,1.4797543e-16,4.5674796e-18
3644.1698646147856,1.4905936e-16,4.5239045e-18
3649.5468004285576,1.4103664e-16,4.402374e-18
3654.924028440635,1.5565865e-16,4.448395e-18
3660.3011590532774,1.5462982e-16,4.372084e-18
3665.6783870653553,1.3670843e-16,4.2325695e-18
3671.055615077433,1.4802749e-16,4.2892665e-18
3676.432745690075,1.471374e-16,4.2235536e-18
3681.8096815038475,1.5019538e-16,4.2197142e-18
3687.186909515925,1.5333909e-16,4.1851422e-18
3692.5640401285673,1.4321391e-16,4.0757385e-18
3697.941268140645,1.4533135e-16,4.0373176e-18
3703.3183987532875,1.4781774e-16,4.0443954e-18
3708.695626765365,1.4952366e-16,4.0748046e-18
3714.0725625791374,1.6984089e-16,4.204463e-18
3719.4496931917797,1.6432018e-16,4.216268e-18
3724.826921203857,1.5381772e-16,4.14917e-18
3730.2040518164995,1.4604395e-16,3.9861697e-18
3735.5812798285774,1.5131725e-16,3.9450005e-18
3740.9584104412197,1.512498e-16,3.8773417e-18
3746.335346254992,1.4976281e-16,3.813406e-18
3751.7125742670696,1.4370438e-16,3.748696e-18
3757.089704879712,1.4597424e-16,3.730717e-18
3762.4669328917894,1.472443e-16,3.673448e-18
3767.844160903867,1.3526695e-16,3.5798545e-18
3773.2212915165096,1.3997785e-16,3.5900267e-18
3778.5982273302816,1.3992013e-16,3.5647146e-18
3783.975455342359,1.3726144e-16,3.5199132e-18
3789.352585955002,1.332627e-16,3.498217e-18
3794.729716567644,1.383651e-16,3.5124624e-18
3800.106944579722,1.4041416e-16,3.5347814e-18
3805.484172591799,1.2424165e-16,3.503915e-18
3810.8610110061363,1.3382459e-16,3.5180657e-18
3816.238239018214,1.3727645e-16,3.4573846e-18
3821.6154670302913,1.2898135e-16,3.3548076e-18
3826.992597642934,1.3298032e-16,3.3157599e-18
3832.3697282555763,1.3819025e-16,3.3448136e-18
3837.7469562676542,1.341178e-16,3.3091243e-18
3843.1239894808614,1.337466e-16,3.339221e-18
3848.5010226940685,1.4524974e-16,3.3960198e-18
3853.878348105581,1.3666023e-16,3.3185837e-18
3859.2554787182235,1.2981758e-16,3.2489725e-18
3864.6327067303014,1.3959996e-16,3.2701504e-18
3870.0097399435085,1.3597661e-16,3.246561e-18
3875.387065355021,1.3572832e-16,3.2529601e-18
3880.7640011687936,1.3628305e-16,3.269168e-18
3886.141131781436,1.4694354e-16,3.293295e-18
3891.5183597935134,1.4347875e-16,3.2842052e-18
3896.8954904061557,1.4583738e-16,3.2902217e-18
3902.2727184182336,1.4770162e-16,3.310426e-18
3907.649849030876,1.4270295e-16,3.28668e-18
3913.0267848446483,1.4946295e-16,3.3482803e-18
3918.404012856726,1.5646475e-16,3.3542275e-18
3923.781143469368,1.5218464e-16,3.3003274e-18
3929.1584688808807,1.5176307e-16,3.2516929e-18
3934.535502094088,1.4337074e-16,3.2130526e-18
3939.912730106166,1.5298748e-16,3.25832e-18
3945.289763319373,1.4497775e-16,3.2052029e-18
3950.6668939320152,1.4204171e-16,3.1697727e-18
3956.044024544658,1.4295233e-16,3.158126e-18
3961.4212525567355,1.3564842e-16,3.1200086e-18
3966.798480568813,1.3121428e-16,3.0764962e-18
3972.175611181455,1.3541173e-16,3.0695345e-18
3977.5525469952277,1.321799e-16,3.0506138e-18
3982.929775007305,1.2888872e-16,3.0409258e-18
3988.3069056199474,1.2933889e-16,3.013083e-18
3993.6840362325906,1.290382e-16,2.989637e-18
3999.061069445798,1.3188884e-16,3.0012733e-18
4004.438492256745,1.353017e-16,3.0049036e-18
4009.8153306710824,1.4670215e-16,3.0589069e-18
4015.19275348203,1.362208e-16,3.0128809e-18
4020.5697866952373,1.3748492e-16,3.0106045e-18
4025.94672250901,1.3714868e-16,3.0101053e-18
4031.3240479205224,1.3558909e-16,2.998302e-18
4036.7010811337295,1.4371858e-16,3.01978e-18
4042.078503944678,1.391379e-16,2.9958765e-18
4047.4554397584498,1.4099259e-16,3.0077884e-18
4052.832862569397,1.4174944e-16,3.0088672e-18
4058.20979838317,1.4425338e-16,3.0217048e-18
4063.586734196942,1.417348e-16,3.0029078e-18
4068.9641570078893,1.5018306e-16,3.0330217e-18
4074.341092821662,1.4304895e-16,2.9742445e-18
4079.7185156326095,1.4526959e-16,2.9603646e-18
4085.0954514463815,1.430504e-16,2.9507427e-18
4090.4723872601544,1.4281365e-16,2.935283e-18
4095.8498100711017,1.4586214e-16,2.9349884e-18
4101.226745884875,1.4214125e-16,2.9183954e-18
4106.6041686958215,1.4289025e-16,2.9057926e-18
4111.981104509594,1.4424937e-16,2.8926022e-18
4117.358527320542,1.4255215e-16,2.8756899e-18
4122.735463134314,1.4191419e-16,2.8714506e-18
4128.112398948086,1.3755689e-16,2.8442318e-18
4133.489821759034,1.3986064e-16,2.8460975e-18
4138.866757572806,1.2905086e-16,2.7980141e-18
4144.244180383754,1.3631714e-16,2.825873e-18
4149.621116197526,1.3350311e-16,2.7922454e-18
4154.998052011299,1.2926153e-16,2.7741681e-18
4160.375474822246,1.2946463e-16,2.7860012e-18
4165.752410636019,1.2667787e-16,2.7364928e-18
4171.129833446966,1.3072626e-16,2.751069e-18
4176.506769260739,1.2535631e-16,2.723286e-18
4181.884192071686,1.2701096e-16,2.7174302e-18
4187.261127885458,1.2141913e-16,2.646741e-18
4192.638063699231,1.1786666e-16,2.6585984e-18
4198.015486510179,1.149506e-16,2.6253422e-18
4203.39242232395,1.1212015e-16,2.6151156e-18
4208.769845134899,1.0784893e-16,2.5910577e-18
4214.146878348106,1.0841833e-16,2.6026597e-18
4219.523716762444,1.1116017e-16,2.609828e-18
4224.9011395733905,1.1094055e-16,2.5873968e-18
4230.278172786598,1.0552925e-16,2.5491616e-18
4235.6555955975455,1.1322754e-16,2.5996614e-18
4241.032434011883,1.1030385e-16,2.5900148e-18
4246.40985682283,1.1690874e-16,2.6376817e-18
4251.786890036037,1.2109477e-16,2.6647228e-18
4257.163728450375,1.2113603e-16,2.6561828e-18
4262.541151261323,1.2133762e-16,2.6328232e-18
4267.918184474531,1.2733585e-16,2.6772263e-18
4273.295607285478,1.3158757e-16,2.6907888e-18
4278.6724456998145,1.3192504e-16,2.6936148e-18
4284.0494789130225,1.3520078e-16,2.6986662e-18
4289.42690172397,1.3627058e-16,2.7214052e-18
4294.803740138308,1.3979699e-16,2.7400376e-18
4300.181162949255,1.3803109e-16,2.7410528e-18
4305.558196162462,1.3966155e-16,2.7585022e-18
4310.93561897341,1.4174616e-16,2.7398559e-18
